Apple	0.556245 	0.585093 	0.59876 	0.590821 	0.521787 	0.60761 	0.603103 	0.611084 	0.532105 	0.594391 	0.570035 	0.539435 	0.54894 	0.541073 	0.517194 	0.537429 	0.502852 	0.504891 	0.561518 	0.586123 	0.549968 	0.554326 	0.555858 	0.541775 	0.533171 	0.55734 	0.513911 	0.538683 	0.51604 	0.549051 	0.561229 	0.546487 	0.546474 	0.547693 	0.563134 	0.547704 	0.54925 	0.632677 	0.658667 	0.546394 	0.50981 	0.554908 	0.512492 	0.535193 	0.530263 	0.576519 	0.511504 	0.536142 	0.464573 	0.466105 	0.456699 	0.461204 	0.524515 	0.508429 	0.516544 	0.544111 	0.509492 	0.515085 	0.545335 	0.551415 	0.550718 	0.556499 	0.555502 	0.586936 	0.506664 	0.569724 	0.577436 	0.554319 	0.562774 	0.52829 	0.51125 	0.514288 	0.556088 	0.564375 	0.502231 	0.573914 	0.502807 	0.559522 	0.557698 	0.539994 	0.551165 	0.59535 	0.567866 	0.551668 	0.553612 	0.553752 	0.577352 	0.611404 	0.544306 	0.576952 	0.575049 	0.459841 	0.482879 	0.538037 	0.503602 	0.494798 	0.556891 	0.592873 	0.55476 	0.627439 	0.502304 	0.562371 	0.513036 	0.529036 	0.564457 	0.5441 	0.586581 	0.516596 	0.605562 	0.450265 	0.540532 	0.53754 	0.524091 	0.611925 	0.488659 	0.559261 	0.545468 	0.501636 	0.557358 	0.529786 	0.456786 	0.538993 	0.521542 	0.544407 	0.54957 	0.512478 	0.56736
Banana	0.416814 	0.716435 	0.848399 	0.892591 	0.378412 	0.772475 	0.842932 	0.78713 	0.384108 	0.84253 	0.789461 	0.625254 	0.786344 	0.626561 	0.641837 	0.666749 	0.520591 	0.521399 	0.671823 	0.673861 	0.610297 	0.627265 	0.683662 	0.486469 	0.5824 	0.667307 	0.390288 	0.556847 	0.64692 	0.962481 	0.930558 	0.955534 	0.930896 	0.946209 	0.853382 	0.988646 	0.903196 	0.851325 	0.730697 	0.937451 	0.415483 	0.917348 	0.564293 	0.556046 	0.345492 	0.909833 	0.544414 	0.650915 	0.203719 	0.283574 	0.327208 	0.299252 	0.403022 	0.389712 	0.418839 	0.353171 	0.536748 	0.301519 	0.939681 	0.813468 	0.345154 	0.648931 	0.681851 	0.74366 	0.373393 	0.367405 	0.510813 	0.735652 	0.511446 	0.561203 	0.478597 	0.469789 	0.900929 	0.588893 	0.35659 	0.692968 	0.374042 	0.931207 	0.884885 	0.713702 	0.735899 	0.832602 	0.828717 	0.632293 	0.844285 	0.793228 	0.711499 	0.764942 	0.945395 	0.862176 	0.859836 	0.365705 	0.393103 	0.643592 	0.490813 	0.375597 	0.529264 	0.798823 	0.693187 	0.717185 	0.387929 	0.629578 	0.428228 	0.296574 	0.629368 	0.92116 	0.763434 	0.424044 	0.74132 	0.301327 	0.959593 	0.953851 	0.868905 	0.770601 	0.394063 	0.358931 	0.767585 	0.512822 	0.406889 	0.417862 	0.22938 	0.432651 	0.56167 	0.943201 	0.666804 	0.568639 	0.670451
Basil	0.567649 	0.602929 	0.58374 	0.605973 	0.47837 	0.637156 	0.605169 	0.60175 	0.634505 	0.580818 	0.601677 	0.57115 	0.605836 	0.583321 	0.538855 	0.488378 	0.648392 	0.517556 	0.592553 	0.613451 	0.580885 	0.574062 	0.616532 	0.525439 	0.597033 	0.573133 	0.572598 	0.555102 	0.54519 	0.629404 	0.59845 	0.651491 	0.612757 	0.673679 	0.654033 	0.676878 	0.661474 	0.647533 	0.675416 	0.617328 	0.633783 	0.630364 	0.589426 	0.529319 	0.453189 	0.600634 	0.61443 	0.569219 	0.467271 	0.467484 	0.460307 	0.468237 	0.55432 	0.519947 	0.558964 	0.524505 	0.565872 	0.478254 	0.627265 	0.601165 	0.561063 	0.564892 	0.607326 	0.603532 	0.431638 	0.420223 	0.417961 	0.457698 	0.473938 	0.554423 	0.610169 	0.575356 	0.606248 	0.576633 	0.555516 	0.598632 	0.50256 	0.638116 	0.608204 	0.488661 	0.528338 	0.570676 	0.524955 	0.595268 	0.646198 	0.501179 	0.616002 	0.619988 	0.651829 	0.590436 	0.596566 	0.470619 	0.510079 	0.601265 	0.627841 	0.516492 	0.576126 	0.5719 	0.588229 	0.640265 	0.478049 	0.582609 	0.504736 	0.427355 	0.585474 	0.625747 	0.581954 	0.568182 	0.62582 	0.463096 	0.608506 	0.592324 	0.567818 	0.618288 	0.512577 	0.516555 	0.517199 	0.506838 	0.568568 	0.562106 	0.443687 	0.555656 	0.596722 	0.615764 	0.604584 	0.582655 	0.557931
Black_Pepper	0.507149 	0.796391 	0.803457 	0.906057 	0.640118 	0.687675 	0.732589 	0.680681 	0.555934 	0.786015 	0.78819 	0.683104 	0.709561 	0.695729 	0.653137 	0.708582 	0.574101 	0.552357 	0.689887 	0.668513 	0.621679 	0.64756 	0.644369 	0.701004 	0.598056 	0.622145 	0.554289 	0.722743 	0.621624 	0.767319 	0.821101 	0.776425 	0.73396 	0.845913 	0.759604 	0.817865 	0.865952 	0.748862 	0.728713 	0.866007 	0.530103 	0.746677 	0.61112 	0.703262 	0.551487 	0.826157 	0.547667 	0.584996 	0.409302 	0.418708 	0.41957 	0.397217 	0.5002 	0.438186 	0.469863 	0.474303 	0.592946 	0.499552 	0.812087 	0.720494 	0.662992 	0.65278 	0.652497 	0.641828 	0.593321 	0.699651 	0.724526 	0.709314 	0.735853 	0.71649 	0.543832 	0.506756 	0.780657 	0.614393 	0.467531 	0.643949 	0.51773 	0.780767 	0.716106 	0.82027 	0.879811 	0.808751 	0.737864 	0.640082 	0.729581 	0.822153 	0.634076 	0.672947 	0.828644 	0.729728 	0.821824 	0.41885 	0.44214 	0.666767 	0.56174 	0.422181 	0.580667 	0.67728 	0.637998 	0.721189 	0.612921 	0.741411 	0.572123 	0.542329 	0.635392 	0.763608 	0.65438 	0.517671 	0.672636 	0.393158 	0.768096 	0.752308 	0.738769 	0.674538 	0.434993 	0.722606 	0.705054 	0.533641 	0.501847 	0.479626 	0.426025 	0.498281 	0.578965 	0.806538 	0.62796 	0.549077 	0.622904
Cheese	0.626662 	0.552156 	0.591812 	0.57867 	0.49425 	0.56433 	0.559543 	0.54679 	0.581838 	0.57327 	0.539023 	0.553761 	0.561063 	0.527896 	0.514059 	0.488437 	0.544377 	0.498857 	0.568783 	0.573508 	0.536378 	0.521388 	0.526111 	0.488602 	0.531287 	0.5606 	0.530878 	0.514592 	0.520732 	0.532682 	0.536025 	0.541331 	0.551393 	0.53089 	0.585228 	0.539027 	0.52386 	0.5763 	0.583022 	0.530732 	0.550316 	0.545211 	0.560778 	0.495603 	0.448622 	0.549832 	0.558465 	0.567935 	0.553458 	0.523008 	0.514516 	0.535096 	0.702585 	0.622127 	0.596457 	0.563707 	0.520504 	0.522793 	0.53007 	0.561737 	0.46693 	0.518344 	0.523743 	0.562585 	0.453766 	0.451158 	0.451893 	0.471382 	0.477551 	0.502569 	0.527484 	0.515601 	0.532683 	0.527195 	0.540148 	0.545233 	0.56904 	0.585587 	0.547576 	0.550751 	0.567017 	0.595771 	0.531071 	0.526928 	0.559964 	0.574388 	0.540016 	0.553178 	0.528495 	0.544141 	0.554192 	0.507442 	0.593458 	0.54812 	0.541432 	0.632595 	0.525952 	0.551636 	0.534972 	0.580946 	0.488106 	0.54238 	0.495859 	0.462223 	0.536173 	0.559292 	0.554229 	0.539019 	0.562449 	0.505796 	0.551279 	0.548801 	0.49712 	0.552561 	0.577725 	0.48678 	0.504699 	0.490404 	0.681614 	0.579957 	0.499739 	0.60398 	0.544909 	0.525398 	0.526955 	0.519639 	0.539619
Chocolate	0.605379 	0.680444 	0.627155 	0.605736 	0.57774 	0.633408 	0.638546 	0.616349 	0.604063 	0.624906 	0.703874 	0.626744 	0.655102 	0.622548 	0.588616 	0.593888 	0.631461 	0.573784 	0.626451 	0.621469 	0.616249 	0.629267 	0.620509 	0.607774 	0.628417 	0.597106 	0.60707 	0.604383 	0.595268 	0.637001 	0.657186 	0.640621 	0.663824 	0.620984 	0.668139 	0.631607 	0.616084 	0.680818 	0.668212 	0.617602 	0.59122 	0.65608 	0.66034 	0.599428 	0.484685 	0.63765 	0.606604 	0.588713 	0.522899 	0.514809 	0.514733 	0.499506 	0.583231 	0.618342 	0.605791 	0.553073 	0.635081 	0.576743 	0.6579 	0.658082 	0.614622 	0.637934 	0.63137 	0.598066 	0.546333 	0.5735 	0.577849 	0.60878 	0.607463 	0.597087 	0.588723 	0.565587 	0.684466 	0.631223 	0.537713 	0.615618 	0.57054 	0.674163 	0.664207 	0.566481 	0.591739 	0.614713 	0.585515 	0.625007 	0.646582 	0.575234 	0.606056 	0.618288 	0.614923 	0.655989 	0.65907 	0.524722 	0.558577 	0.617666 	0.618269 	0.542483 	0.608826 	0.606531 	0.622593 	0.657817 	0.602527 	0.628234 	0.575938 	0.521176 	0.629998 	0.646454 	0.595771 	0.589758 	0.61783 	0.495493 	0.644817 	0.66099 	0.626744 	0.618297 	0.582314 	0.597938 	0.573937 	0.553784 	0.59749 	0.602765 	0.519582 	0.583073 	0.616295 	0.632448 	0.613378 	0.583593 	0.599217
Cinnamon	0.503556 	0.844212 	0.700245 	0.666658 	0.614229 	0.614539 	0.627512 	0.585166 	0.576276 	0.720522 	0.819648 	0.666493 	0.722359 	0.675726 	0.618233 	0.669354 	0.622557 	0.584656 	0.657561 	0.628819 	0.619796 	0.659828 	0.632732 	0.696003 	0.573436 	0.572338 	0.604383 	0.675132 	0.602691 	0.659691 	0.70456 	0.678972 	0.677463 	0.653018 	0.733896 	0.656711 	0.660094 	0.715402 	0.672271 	0.661721 	0.544368 	0.700647 	0.593193 	0.670717 	0.568979 	0.678085 	0.55773 	0.550388 	0.482094 	0.425069 	0.438545 	0.4492 	0.446168 	0.553682 	0.49066 	0.498693 	0.655468 	0.615417 	0.68453 	0.727442 	0.758845 	0.670397 	0.654983 	0.613854 	0.583374 	0.74334 	0.748533 	0.74462 	0.757446 	0.659198 	0.526081 	0.525228 	0.757656 	0.647139 	0.484351 	0.611422 	0.551286 	0.734994 	0.66056 	0.595405 	0.636251 	0.665268 	0.676284 	0.643327 	0.712459 	0.624029 	0.606458 	0.590507 	0.632055 	0.643803 	0.718575 	0.437185 	0.526029 	0.662187 	0.595213 	0.479386 	0.61123 	0.580941 	0.611806 	0.662041 	0.622155 	0.72842 	0.584981 	0.545862 	0.649105 	0.705099 	0.59674 	0.519502 	0.601494 	0.448901 	0.696588 	0.693005 	0.618745 	0.591005 	0.502706 	0.736529 	0.66237 	0.548322 	0.473443 	0.481136 	0.454208 	0.488829 	0.56897 	0.652158 	0.598047 	0.541817 	0.575019
Cloves	0.709405 	0.600936 	0.563123 	0.556825 	0.591904 	0.660587 	0.606348 	0.618379 	0.672865 	0.565161 	0.61986 	0.571745 	0.572896 	0.574979 	0.64958 	0.504489 	0.666776 	0.532004 	0.59994 	0.647112 	0.81483 	0.70136 	0.716874 	0.530339 	0.726455 	0.610325 	0.6221 	0.737453 	0.571964 	0.639131 	0.589474 	0.589368 	0.586442 	0.607948 	0.611285 	0.622036 	0.58845 	0.67366 	0.670909 	0.593897 	0.780511 	0.614046 	0.706251 	0.691094 	0.453813 	0.563342 	0.698353 	0.618955 	0.573975 	0.520312 	0.510699 	0.529816 	0.65502 	0.598706 	0.668751 	0.610151 	0.621953 	0.532111 	0.595442 	0.579544 	0.509087 	0.671594 	0.69625 	0.590946 	0.480615 	0.463287 	0.455087 	0.466136 	0.492988 	0.823862 	0.806282 	0.768005 	0.661629 	0.733467 	0.585181 	0.633774 	0.551462 	0.619778 	0.599263 	0.427291 	0.463621 	0.539709 	0.510951 	0.723941 	0.6108 	0.460366 	0.641188 	0.645558 	0.611449 	0.598148 	0.58306 	0.518195 	0.571991 	0.559569 	0.66312 	0.554741 	0.715082 	0.590485 	0.651171 	0.65619 	0.563493 	0.619339 	0.54841 	0.492193 	0.795477 	0.586184 	0.586754 	0.674044 	0.658987 	0.533918 	0.571657 	0.567291 	0.535875 	0.63488 	0.575804 	0.51845 	0.502441 	0.521432 	0.691158 	0.738321 	0.5495 	0.652616 	0.714058 	0.624422 	0.714095 	0.697246 	0.579336
Coffee	0.697978 	0.66748 	0.740214 	0.805972 	0.622685 	0.779597 	0.809848 	0.786673 	0.654599 	0.708116 	0.701552 	0.635959 	0.714836 	0.647697 	0.624175 	0.671329 	0.684521 	0.574973 	0.698618 	0.736063 	0.669245 	0.68656 	0.73706 	0.608003 	0.716938 	0.729033 	0.643794 	0.653713 	0.599821 	0.735643 	0.712011 	0.778573 	0.867396 	0.815726 	0.80119 	0.80173 	0.769943 	0.847302 	0.805405 	0.720147 	0.643583 	0.73183 	0.755142 	0.621679 	0.449719 	0.706745 	0.68869 	0.74984 	0.632266 	0.620939 	0.608103 	0.561339 	0.725879 	0.677719 	0.686459 	0.576775 	0.67899 	0.657936 	0.851434 	0.705328 	0.513153 	0.657196 	0.714013 	0.705127 	0.528466 	0.432926 	0.458252 	0.604565 	0.546704 	0.667535 	0.682235 	0.594756 	0.717459 	0.650065 	0.695765 	0.723045 	0.724325 	0.846854 	0.868329 	0.880241 	0.867872 	0.762675 	0.672243 	0.709085 	0.699751 	0.83731 	0.706919 	0.765756 	0.75762 	0.824648 	0.717633 	0.6286 	0.618818 	0.635922 	0.677226 	0.598477 	0.642523 	0.768672 	0.727982 	0.795184 	0.616569 	0.654627 	0.571876 	0.531211 	0.671018 	0.782989 	0.754704 	0.612912 	0.755718 	0.556305 	0.814254 	0.85041 	0.802653 	0.774807 	0.6531 	0.523789 	0.626616 	0.544668 	0.725029 	0.707101 	0.606293 	0.644735 	0.724727 	0.729472 	0.737745 	0.662205 	0.697448
Garlic	0.565303 	0.517454 	0.580753 	0.578513 	0.48388 	0.567271 	0.561506 	0.564077 	0.570706 	0.568006 	0.532247 	0.537124 	0.566388 	0.524738 	0.524914 	0.482724 	0.545114 	0.513693 	0.556584 	0.557634 	0.542403 	0.550874 	0.57112 	0.476964 	0.555834 	0.557115 	0.533645 	0.514935 	0.51948 	0.540416 	0.542629 	0.546812 	0.556174 	0.532258 	0.605169 	0.545159 	0.521545 	0.577707 	0.581036 	0.527395 	0.5466 	0.543435 	0.553337 	0.497385 	0.452339 	0.551725 	0.551204 	0.554965 	0.505686 	0.49499 	0.495685 	0.498089 	0.546376 	0.53275 	0.540065 	0.522588 	0.522082 	0.495868 	0.533346 	0.549022 	0.450989 	0.549836 	0.562873 	0.552108 	0.463948 	0.405701 	0.409956 	0.466718 	0.437178 	0.51168 	0.537757 	0.528384 	0.532128 	0.539623 	0.540173 	0.564482 	0.511631 	0.59663 	0.552754 	0.57079 	0.575146 	0.580841 	0.542531 	0.556478 	0.54966 	0.574815 	0.560794 	0.562489 	0.536675 	0.552865 	0.553631 	0.498126 	0.519133 	0.540642 	0.539705 	0.527744 	0.532043 	0.568472 	0.566833 	0.572663 	0.49755 	0.5222 	0.518213 	0.461408 	0.541715 	0.568271 	0.563857 	0.532331 	0.569672 	0.485202 	0.558764 	0.556489 	0.520781 	0.562506 	0.519872 	0.444529 	0.506207 	0.512557 	0.563827 	0.536045 	0.480712 	0.56719 	0.551245 	0.534819 	0.572416 	0.544643 	0.549997
