       0 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 	     -65 
    0.01 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 	-65.00322 
    0.02 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 	-65.00606 
    0.03 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 	-65.00864 
    0.04 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 	-65.01104 
    0.05 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 	-65.01329 
    0.06 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 	-65.01542 
    0.07 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 	-65.01744 
    0.08 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 	-65.01938 
    0.09 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 	-65.02123 
     0.1 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 	 -65.023 
    0.11 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 	-65.02472 
    0.12 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 	-65.02637 
    0.13 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 	-65.02797 
    0.14 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 	-65.02951 
    0.15 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 	-65.03102 
    0.16 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 	-65.03247 
    0.17 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 	-65.03389 
    0.18 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 	-65.03527 
