Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,4,10,1.933,10,0.006,2.303,-5.057
10,2,20,1.181,20,7.958E-4,2.996,-7.136
20,1,30,0.935,30,3.537E-4,3.401,-7.947
30,1,40,0.882,40,1.989E-4,3.689,-8.522
40,1,50,0.955,50,1.273E-4,3.912,-8.969
50,1,60,1.075,60,8.842E-5,4.094,-9.333
60,1,70,1.129,70,6.496E-5,4.248,-9.642
70,1,80,1.050,80,4.974E-5,4.382,-9.909
80,1,90,0.889,90,3.930E-5,4.500,-10.144
90,1,100,0.831,100,3.183E-5,4.605,-10.355
100,1,110,1.124,110,2.631E-5,4.700,-10.546
110,1,120,1.922,120,4.421E-5,4.787,-10.027
120,2,130,3.122,130,5.650E-5,4.868,-9.781
130,3,140,4.241,140,6.496E-5,4.942,-9.642
140,4,150,4.503,150,7.074E-5,5.011,-9.557
150,5,160,3.261,160,3.730E-5,5.075,-10.196
160,3,170,0.977,170,1.101E-5,5.136,-11.416
170,1,180,0.990,180,9.824E-6,5.193,-11.531
180,1,NaN,NaN,NaN,NaN,NaN,NaN
