Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,5,10,3.226,10,0.010,2.303,-4.651
10,3,20,2.246,20,0.002,2.996,-6.038
20,3,30,1.589,30,3.537E-4,3.401,-7.947
30,1,40,1.183,40,1.989E-4,3.689,-8.522
40,1,50,0.963,50,1.273E-4,3.912,-8.969
50,1,60,0.873,60,8.842E-5,4.094,-9.333
60,1,70,0.868,70,6.496E-5,4.248,-9.642
70,1,80,0.909,80,4.974E-5,4.382,-9.909
80,1,90,0.969,90,3.930E-5,4.500,-10.144
90,1,100,1.027,100,3.183E-5,4.605,-10.355
100,1,110,1.070,110,2.631E-5,4.700,-10.546
110,1,120,1.090,120,2.210E-5,4.787,-10.720
120,1,130,1.086,130,1.883E-5,4.868,-10.880
130,1,140,1.062,140,1.624E-5,4.942,-11.028
140,1,150,1.023,150,1.415E-5,5.011,-11.166
150,1,160,0.977,160,1.243E-5,5.075,-11.295
160,1,170,0.934,170,1.101E-5,5.136,-11.416
170,1,180,0.902,180,9.824E-6,5.193,-11.531
180,1,190,0.890,190,8.817E-6,5.247,-11.639
190,1,200,0.902,200,7.958E-6,5.298,-11.741
200,1,210,0.942,210,7.218E-6,5.347,-11.839
210,1,220,1.009,220,6.577E-6,5.394,-11.932
220,1,230,1.099,230,6.017E-6,5.438,-12.021
230,1,240,1.204,240,5.526E-6,5.481,-12.106
240,1,250,1.313,250,5.093E-6,5.521,-12.188
250,1,260,1.413,260,4.709E-6,5.561,-12.266
260,1,270,1.489,270,8.733E-6,5.598,-11.648
270,2,280,1.526,280,8.120E-6,5.635,-11.721
280,2,290,1.513,290,7.570E-6,5.670,-11.791
290,2,300,1.443,300,3.537E-6,5.704,-12.552
300,1,310,1.318,310,3.312E-6,5.737,-12.618
310,1,320,1.152,320,3.108E-6,5.768,-12.681
320,1,330,0.977,330,2.923E-6,5.799,-12.743
330,1,340,0.850,340,2.754E-6,5.829,-12.803
340,1,350,0.854,350,2.598E-6,5.858,-12.861
350,1,360,1.111,360,2.456E-6,5.886,-12.917
360,1,NaN,NaN,NaN,NaN,NaN,NaN
