Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,5,10,3.993,10,0.013,2.303,-4.364
10,4,20,2.007,20,0.002,2.996,-6.443
20,2,30,1.073,30,3.537E-4,3.401,-7.947
30,1,40,0.841,40,1.989E-4,3.689,-8.522
40,1,50,0.978,50,1.273E-4,3.912,-8.969
50,1,60,1.303,60,8.842E-5,4.094,-9.333
60,1,70,1.856,70,1.299E-4,4.248,-8.949
70,2,80,2.784,80,1.492E-4,4.382,-8.810
80,3,90,4.083,90,1.572E-4,4.500,-8.758
90,4,100,5.324,100,1.592E-4,4.605,-8.746
100,5,110,5.615,110,1.578E-4,4.700,-8.754
110,6,120,4.171,120,8.842E-5,4.787,-9.333
120,4,130,1.972,130,3.767E-5,4.868,-10.187
130,2,NaN,NaN,NaN,NaN,NaN,NaN
