Radius,Inters.,Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,2,10,7.162E-4,2.303,-7.242
10,3,20,8.952E-5,2.996,-9.321
20,3,30,8.842E-6,3.401,-11.636
30,1,40,3.730E-6,3.689,-12.499
40,1,NaN,NaN,NaN,NaN
