Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.065,10,2.387E-4,2.303,-8.340
10,1,20,0.790,20,2.984E-5,2.996,-10.420
20,1,30,1.078,30,8.842E-6,3.401,-11.636
30,1,40,1.228,40,3.730E-6,3.689,-12.499
40,1,50,1.074,50,1.910E-6,3.912,-13.168
50,1,60,0.784,60,1.105E-6,4.094,-13.715
60,1,70,0.646,70,6.960E-7,4.248,-14.178
70,1,80,0.886,80,4.663E-7,4.382,-14.578
80,1,90,1.551,90,3.275E-7,4.500,-14.932
90,1,100,2.480,100,4.775E-7,4.605,-14.555
100,2,110,3.359,110,5.381E-7,4.700,-14.435
110,3,120,3.838,120,8.289E-7,4.787,-14.003
120,6,130,3.693,130,3.260E-7,4.868,-14.936
130,3,140,2.965,140,1.740E-7,4.942,-15.564
140,2,150,2.027,150,1.415E-7,5.011,-15.771
150,2,160,1.473,160,1.166E-7,5.075,-15.965
160,2,170,1.754,170,9.718E-8,5.136,-16.147
170,2,180,2.426,180,8.187E-8,5.193,-16.318
180,2,190,0.883,190,3.481E-8,5.247,-17.173
190,1,NaN,NaN,NaN,NaN,NaN,NaN
