Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,2,10,2.916,10,0.010,2.303,-4.651
10,3,20,3.184,20,0.002,2.996,-6.038
20,3,30,3.037,30,0.001,3.401,-6.849
30,3,40,2.692,40,5.968E-4,3.689,-7.424
40,3,50,2.288,50,2.546E-4,3.912,-8.276
50,2,60,1.906,60,1.768E-4,4.094,-8.640
60,2,70,1.587,70,1.299E-4,4.248,-8.949
70,2,80,1.344,80,4.974E-5,4.382,-9.909
80,1,90,1.171,90,3.930E-5,4.500,-10.144
90,1,100,1.056,100,3.183E-5,4.605,-10.355
100,1,110,0.984,110,2.631E-5,4.700,-10.546
110,1,120,0.941,120,2.210E-5,4.787,-10.720
120,1,130,0.917,130,1.883E-5,4.868,-10.880
130,1,140,0.908,140,1.624E-5,4.942,-11.028
140,1,150,0.914,150,1.415E-5,5.011,-11.166
150,1,160,0.939,160,1.243E-5,5.075,-11.295
160,1,170,0.990,170,1.101E-5,5.136,-11.416
170,1,180,1.073,180,9.824E-6,5.193,-11.531
180,1,190,1.193,190,8.817E-6,5.247,-11.639
190,1,200,1.348,200,7.958E-6,5.298,-11.741
200,1,210,1.533,210,7.218E-6,5.347,-11.839
210,1,220,1.734,220,1.973E-5,5.394,-10.833
220,3,230,1.932,230,1.203E-5,5.438,-11.328
230,2,240,2.099,240,1.105E-5,5.481,-11.413
240,2,250,2.206,250,1.019E-5,5.521,-11.495
250,2,260,2.223,260,9.417E-6,5.561,-11.573
260,2,270,2.129,270,8.733E-6,5.598,-11.648
270,2,280,1.916,280,8.120E-6,5.635,-11.721
280,2,290,1.605,290,7.570E-6,5.670,-11.791
290,2,300,1.256,300,3.537E-6,5.704,-12.552
300,1,310,0.987,310,3.312E-6,5.737,-12.618
310,1,320,0.991,320,3.108E-6,5.768,-12.681
320,1,NaN,NaN,NaN,NaN,NaN,NaN
