Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,4,10,2.847,10,0.010,2.303,-4.651
10,3,20,3.468,20,0.002,2.996,-6.038
20,3,30,2.262,30,7.074E-4,3.401,-7.254
30,2,40,1.941,40,7.958E-4,3.689,-7.136
40,4,50,2.249,50,1.273E-4,3.912,-8.969
50,1,60,2.337,60,8.842E-5,4.094,-9.333
60,1,70,1.840,70,1.299E-4,4.248,-8.949
70,2,80,1.081,80,9.947E-5,4.382,-9.216
80,2,90,0.802,90,7.860E-5,4.500,-9.451
90,2,100,1.710,100,6.366E-5,4.605,-9.662
100,2,110,4.060,110,7.892E-5,4.700,-9.447
110,3,120,7.441,120,8.842E-5,4.787,-9.333
120,4,130,10.824,130,2.260E-4,4.868,-8.395
130,12,140,12.895,140,3.086E-4,4.942,-8.084
140,19,150,12.581,150,1.132E-4,5.011,-9.087
150,8,160,9.640,160,1.119E-4,5.075,-9.098
160,9,170,5.082,170,6.609E-5,5.136,-9.625
170,6,180,1.131,180,9.824E-6,5.193,-11.531
180,1,190,0.366,190,8.817E-6,5.247,-11.639
190,1,200,3.582,200,2.387E-5,5.298,-10.643
200,3,210,5.860,210,4.331E-5,5.347,-10.047
210,6,NaN,NaN,NaN,NaN,NaN,NaN
