Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,8,10,3.027,10,0.010,2.303,-4.651
10,3,20,1.821,20,0.002,2.996,-6.443
20,2,30,1.493,30,3.537E-4,3.401,-7.947
30,1,40,1.365,40,3.979E-4,3.689,-7.829
40,2,50,1.234,50,1.273E-4,3.912,-8.969
50,1,60,1.118,60,8.842E-5,4.094,-9.333
60,1,70,1.111,70,6.496E-5,4.248,-9.642
70,1,80,1.306,80,4.974E-5,4.382,-9.909
80,1,90,1.760,90,1.179E-4,4.500,-9.046
90,3,100,2.486,100,6.366E-5,4.605,-9.662
100,2,110,3.456,110,7.892E-5,4.700,-9.447
110,3,120,4.597,120,8.842E-5,4.787,-9.333
120,4,130,5.796,130,1.318E-4,4.868,-8.934
130,7,140,6.889,140,9.744E-5,4.942,-9.236
140,6,150,7.666,150,1.273E-4,5.011,-8.969
150,9,160,7.890,160,8.704E-5,5.075,-9.349
160,7,170,7.353,170,7.710E-5,5.136,-9.470
170,7,180,5.996,180,5.895E-5,5.193,-9.739
180,6,190,4.111,190,4.409E-5,5.247,-10.029
190,5,200,2.676,200,1.592E-5,5.298,-11.048
200,2,210,3.849,210,2.887E-5,5.347,-10.453
210,4,NaN,NaN,NaN,NaN,NaN,NaN
