Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,4,10,1.993,10,0.006,2.303,-5.057
10,2,20,1.030,20,7.958E-4,2.996,-7.136
20,1,30,0.959,30,3.537E-4,3.401,-7.947
30,1,40,1.010,40,1.989E-4,3.689,-8.522
40,1,50,1.012,50,1.273E-4,3.912,-8.969
50,1,60,0.997,60,8.842E-5,4.094,-9.333
60,1,70,1.002,70,6.496E-5,4.248,-9.642
70,1,80,1.014,80,4.974E-5,4.382,-9.909
80,1,90,0.994,90,3.930E-5,4.500,-10.144
90,1,100,0.950,100,3.183E-5,4.605,-10.355
100,1,110,0.975,110,2.631E-5,4.700,-10.546
110,1,120,1.221,120,2.210E-5,4.787,-10.720
120,1,130,1.737,130,3.767E-5,4.868,-10.187
130,2,140,2.128,140,3.248E-5,4.942,-10.335
140,2,150,0.976,150,1.415E-5,5.011,-11.166
150,1,NaN,NaN,NaN,NaN,NaN,NaN
