Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,9,10,2.064,10,0.006,2.303,-5.057
10,2,20,4.582,20,0.004,2.996,-5.527
20,5,30,3.878,30,0.001,3.401,-6.849
30,3,40,2.353,40,5.968E-4,3.689,-7.424
40,3,50,1.177,50,1.273E-4,3.912,-8.969
50,1,60,0.747,60,8.842E-5,4.094,-9.333
60,1,70,1.023,70,6.496E-5,4.248,-9.642
70,1,80,1.776,80,9.947E-5,4.382,-9.216
80,2,90,2.746,90,7.860E-5,4.500,-9.451
90,2,100,3.736,100,9.549E-5,4.605,-9.256
100,3,110,4.648,110,1.578E-4,4.700,-8.754
110,6,120,5.476,120,1.105E-4,4.787,-9.110
120,5,130,6.270,130,1.507E-4,4.868,-8.800
130,8,140,7.084,140,9.744E-5,4.942,-9.236
140,6,150,7.926,150,8.488E-5,5.011,-9.374
150,6,160,8.716,160,1.368E-4,5.075,-8.897
160,11,170,9.268,170,6.609E-5,5.136,-9.625
170,6,180,9.311,180,1.375E-4,5.193,-8.892
180,14,190,8.569,190,6.172E-5,5.247,-9.693
190,7,200,6.895,200,3.979E-5,5.298,-10.132
200,5,210,4.492,210,4.331E-5,5.347,-10.047
210,6,220,2.225,220,1.315E-5,5.394,-11.239
220,2,230,2.040,230,1.203E-5,5.438,-11.328
230,2,NaN,NaN,NaN,NaN,NaN,NaN
