Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,4,10,1.065,10,2.387E-4,2.303,-8.340
10,1,20,0.723,20,2.984E-5,2.996,-10.420
20,1,30,1.424,30,8.842E-6,3.401,-11.636
30,1,40,1.818,40,7.460E-6,3.689,-11.806
40,2,50,1.847,50,3.820E-6,3.912,-12.475
50,2,60,1.998,60,2.210E-6,4.094,-13.022
60,2,70,2.407,70,1.392E-6,4.248,-13.485
70,2,80,2.601,80,1.399E-6,4.382,-13.480
80,3,90,2.064,90,6.550E-7,4.500,-14.239
90,2,100,1.109,100,2.387E-7,4.605,-15.248
100,1,110,0.932,110,1.794E-7,4.700,-15.534
110,1,120,1.012,120,1.382E-7,4.787,-15.795
120,1,NaN,NaN,NaN,NaN,NaN,NaN
