Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,6,10,3.033,10,7.162E-4,2.303,-7.242
10,3,20,0.962,20,2.984E-5,2.996,-10.420
20,1,30,0.905,30,8.842E-6,3.401,-11.636
30,1,40,1.090,40,3.730E-6,3.689,-12.499
40,1,50,1.085,50,1.910E-6,3.912,-13.168
50,1,60,0.972,60,1.105E-6,4.094,-13.715
60,1,70,0.910,70,6.960E-7,4.248,-14.178
70,1,80,0.972,80,4.663E-7,4.382,-14.578
80,1,90,1.131,90,3.275E-7,4.500,-14.932
90,1,100,1.321,100,2.387E-7,4.605,-15.248
100,1,110,1.507,110,3.587E-7,4.700,-14.841
110,2,120,1.714,120,2.763E-7,4.787,-15.102
120,2,130,2.016,130,2.173E-7,4.868,-15.342
130,2,140,2.465,140,1.740E-7,4.942,-15.564
140,2,150,3.001,150,1.415E-7,5.011,-15.771
150,2,160,3.394,160,2.914E-7,5.075,-15.048
160,5,170,3.270,170,1.458E-7,5.136,-15.741
170,3,180,2.344,180,8.187E-8,5.193,-16.318
180,2,190,0.939,190,3.481E-8,5.247,-17.173
190,1,200,0.968,200,2.984E-8,5.298,-17.327
200,1,NaN,NaN,NaN,NaN,NaN,NaN
