Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,3,10,1.021,10,2.387E-4,2.303,-8.340
10,1,20,0.886,20,2.984E-5,2.996,-10.420
20,1,30,1.183,30,8.842E-6,3.401,-11.636
30,1,40,1.115,40,3.730E-6,3.689,-12.499
40,1,50,1.300,50,3.820E-6,3.912,-12.475
50,2,60,1.747,60,1.105E-6,4.094,-13.715
60,1,70,1.952,70,1.392E-6,4.248,-13.485
70,2,80,1.619,80,9.325E-7,4.382,-13.885
80,2,90,1.100,90,3.275E-7,4.500,-14.932
90,1,100,1.134,100,2.387E-7,4.605,-15.248
100,1,110,2.019,110,3.587E-7,4.700,-14.841
110,2,120,2.856,120,4.145E-7,4.787,-14.696
120,3,130,2.085,130,2.173E-7,4.868,-15.342
130,2,140,0.984,140,8.700E-8,4.942,-16.257
140,1,NaN,NaN,NaN,NaN,NaN,NaN
