Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,2,10,3.994,10,0.013,2.303,-4.364
10,4,20,4.008,20,0.003,2.996,-5.750
20,4,30,4.080,30,0.001,3.401,-6.561
30,4,40,3.721,40,7.958E-4,3.689,-7.136
40,4,50,3.303,50,3.820E-4,3.912,-7.870
50,3,60,3.011,60,2.653E-4,4.094,-8.235
60,3,70,2.725,70,1.949E-4,4.248,-8.543
70,3,80,2.277,80,9.947E-5,4.382,-9.216
80,2,90,1.696,90,7.860E-5,4.500,-9.451
90,2,100,1.244,100,3.183E-5,4.605,-10.355
100,1,110,1.182,110,2.631E-5,4.700,-10.546
110,1,120,1.440,120,4.421E-5,4.787,-10.027
120,2,130,1.471,130,1.883E-5,4.868,-10.880
130,1,140,0.819,140,1.624E-5,4.942,-11.028
140,1,150,1.027,150,1.415E-5,5.011,-11.166
150,1,NaN,NaN,NaN,NaN,NaN,NaN
