Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,0.887,10,0.003,2.303,-5.750
10,1,20,1.224,20,7.958E-4,2.996,-7.136
20,1,30,1.059,30,3.537E-4,3.401,-7.947
30,1,40,0.806,40,1.989E-4,3.689,-8.522
40,1,50,0.762,50,1.273E-4,3.912,-8.969
50,1,60,1.029,60,8.842E-5,4.094,-9.333
60,1,70,1.531,70,6.496E-5,4.248,-9.642
70,1,80,2.089,80,9.947E-5,4.382,-9.216
80,2,90,2.506,90,1.179E-4,4.500,-9.046
90,3,100,2.651,100,9.549E-5,4.605,-9.256
100,3,110,2.507,110,5.261E-5,4.700,-9.853
110,2,120,2.177,120,4.421E-5,4.787,-10.027
120,2,130,1.856,130,3.767E-5,4.868,-10.187
130,2,140,1.753,140,3.248E-5,4.942,-10.335
140,2,150,2.004,150,2.829E-5,5.011,-10.473
150,2,160,2.579,160,2.487E-5,5.075,-10.602
160,2,170,3.227,170,4.406E-5,5.136,-10.030
170,4,180,3.489,180,2.947E-5,5.193,-10.432
180,3,190,2.843,190,2.645E-5,5.247,-10.540
190,3,200,1.020,200,7.958E-6,5.298,-11.741
200,1,NaN,NaN,NaN,NaN,NaN,NaN
