Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,0.939,10,0.003,2.303,-5.750
10,1,20,1.251,20,7.958E-4,2.996,-7.136
20,1,30,0.727,30,3.537E-4,3.401,-7.947
30,1,40,0.832,40,1.989E-4,3.689,-8.522
40,1,50,1.225,50,1.273E-4,3.912,-8.969
50,1,60,1.347,60,8.842E-5,4.094,-9.333
60,1,70,1.041,70,6.496E-5,4.248,-9.642
70,1,80,0.590,80,4.974E-5,4.382,-9.909
80,1,90,0.455,90,3.930E-5,4.500,-10.144
90,1,100,0.965,100,3.183E-5,4.605,-10.355
100,1,110,2.096,110,2.631E-5,4.700,-10.546
110,1,120,3.441,120,6.631E-5,4.787,-9.621
120,3,130,4.380,130,9.417E-5,4.868,-9.270
130,5,140,4.408,140,9.744E-5,4.942,-9.236
140,6,150,3.480,150,2.829E-5,5.011,-10.473
150,2,160,2.203,160,2.487E-5,5.075,-10.602
160,2,170,1.579,170,2.203E-5,5.136,-10.723
170,2,180,1.998,180,1.965E-5,5.193,-10.837
180,2,190,1.045,190,8.817E-6,5.247,-11.639
190,1,NaN,NaN,NaN,NaN,NaN,NaN
