Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,2.784,10,0.010,2.303,-4.651
10,3,20,4.466,20,0.003,2.996,-5.750
20,4,30,4.300,30,0.001,3.401,-6.561
30,4,40,3.503,40,7.958E-4,3.689,-7.136
40,4,50,2.669,50,5.093E-4,3.912,-7.582
50,4,60,2.015,60,8.842E-5,4.094,-9.333
60,1,70,1.560,70,6.496E-5,4.248,-9.642
70,1,80,1.245,80,4.974E-5,4.382,-9.909
80,1,90,1.006,90,3.930E-5,4.500,-10.144
90,1,100,0.808,100,3.183E-5,4.605,-10.355
100,1,110,0.661,110,2.631E-5,4.700,-10.546
110,1,120,0.606,120,2.210E-5,4.787,-10.720
120,1,130,0.703,130,1.883E-5,4.868,-10.880
130,1,140,1.008,140,1.624E-5,4.942,-11.028
140,1,150,1.552,150,1.415E-5,5.011,-11.166
150,1,160,2.328,160,2.487E-5,5.075,-10.602
160,2,170,3.281,170,2.203E-5,5.136,-10.723
170,2,180,4.309,180,5.895E-5,5.193,-9.739
180,6,190,5.276,190,4.409E-5,5.247,-10.029
190,5,200,6.028,200,5.570E-5,5.298,-9.795
200,7,210,6.424,210,4.331E-5,5.347,-10.047
210,6,220,6.360,220,3.288E-5,5.394,-10.323
220,5,230,5.803,230,3.610E-5,5.438,-10.229
230,6,240,4.809,240,3.316E-5,5.481,-10.314
240,6,250,3.535,250,2.037E-5,5.521,-10.801
250,4,260,2.227,260,4.709E-6,5.561,-12.266
260,1,270,1.178,270,4.366E-6,5.598,-12.342
270,1,280,0.650,280,4.060E-6,5.635,-12.414
280,1,290,0.736,290,3.785E-6,5.670,-12.484
290,1,300,1.171,300,3.537E-6,5.704,-12.552
300,1,NaN,NaN,NaN,NaN,NaN,NaN
