Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,0.897,10,0.003,2.303,-5.750
10,1,20,1.407,20,7.958E-4,2.996,-7.136
20,1,30,0.631,30,3.537E-4,3.401,-7.947
30,1,40,0.678,40,1.989E-4,3.689,-8.522
40,1,50,1.253,50,1.273E-4,3.912,-8.969
50,1,60,1.683,60,8.842E-5,4.094,-9.333
60,1,70,1.712,70,1.299E-4,4.248,-8.949
70,2,80,1.564,80,9.947E-5,4.382,-9.216
80,2,90,1.650,90,7.860E-5,4.500,-9.451
90,2,100,2.225,100,6.366E-5,4.605,-9.662
100,2,110,3.183,110,5.261E-5,4.700,-9.853
110,2,120,4.083,120,1.105E-4,4.787,-9.110
120,5,130,4.410,130,9.417E-5,4.868,-9.270
130,5,140,3.972,140,4.872E-5,4.942,-9.929
140,3,150,3.226,150,4.244E-5,5.011,-10.067
150,3,160,3.249,160,6.217E-5,5.075,-9.686
160,5,170,4.952,170,3.304E-5,5.136,-10.318
170,3,180,7.046,180,7.860E-5,5.193,-9.451
180,8,190,2.178,190,1.763E-5,5.247,-10.946
190,2,NaN,NaN,NaN,NaN,NaN,NaN
