Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,1.009,10,0.003,2.303,-5.750
10,1,20,0.978,20,7.958E-4,2.996,-7.136
20,1,30,0.999,30,3.537E-4,3.401,-7.947
30,1,40,1.017,40,1.989E-4,3.689,-8.522
40,1,50,1.017,50,1.273E-4,3.912,-8.969
50,1,60,1.003,60,8.842E-5,4.094,-9.333
60,1,70,0.987,70,6.496E-5,4.248,-9.642
70,1,80,0.978,80,4.974E-5,4.382,-9.909
80,1,90,0.983,90,3.930E-5,4.500,-10.144
90,1,100,0.998,100,3.183E-5,4.605,-10.355
100,1,110,1.017,110,2.631E-5,4.700,-10.546
110,1,120,1.031,120,2.210E-5,4.787,-10.720
120,1,130,1.030,130,1.883E-5,4.868,-10.880
130,1,140,1.010,140,1.624E-5,4.942,-11.028
140,1,150,0.977,150,1.415E-5,5.011,-11.166
150,1,160,0.943,160,1.243E-5,5.075,-11.295
160,1,170,0.933,170,1.101E-5,5.136,-11.416
170,1,180,0.975,180,9.824E-6,5.193,-11.531
180,1,190,1.099,190,8.817E-6,5.247,-11.639
190,1,200,1.319,200,7.958E-6,5.298,-11.741
200,1,210,1.625,210,1.444E-5,5.347,-11.146
210,2,220,1.951,220,1.315E-5,5.394,-11.239
220,2,230,2.155,230,1.203E-5,5.438,-11.328
230,2,240,1.976,240,1.105E-5,5.481,-11.413
240,2,250,0.990,250,5.093E-6,5.521,-12.188
250,1,NaN,NaN,NaN,NaN,NaN,NaN
