Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,0.994,10,0.003,2.303,-5.750
10,1,20,2.026,20,0.002,2.996,-6.443
20,2,30,2.927,30,0.001,3.401,-6.849
30,3,40,3.159,40,5.968E-4,3.689,-7.424
40,3,50,2.926,50,3.820E-4,3.912,-7.870
50,3,60,2.611,60,2.653E-4,4.094,-8.235
60,3,70,2.472,70,1.299E-4,4.248,-8.949
70,2,80,2.544,80,9.947E-5,4.382,-9.216
80,2,90,2.671,90,1.572E-4,4.500,-8.758
90,4,100,2.632,100,6.366E-5,4.605,-9.662
100,2,110,2.288,110,5.261E-5,4.700,-9.853
110,2,120,1.690,120,4.421E-5,4.787,-10.027
120,2,130,1.106,130,1.883E-5,4.868,-10.880
130,1,140,0.880,140,1.624E-5,4.942,-11.028
140,1,150,1.098,150,1.415E-5,5.011,-11.166
150,1,160,0.975,160,1.243E-5,5.075,-11.295
160,1,NaN,NaN,NaN,NaN,NaN,NaN
