Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,5,10,3.176,10,0.010,2.303,-4.651
10,3,20,2.361,20,0.002,2.996,-6.038
20,3,30,1.618,30,3.537E-4,3.401,-7.947
30,1,40,1.106,40,1.989E-4,3.689,-8.522
40,1,50,0.853,50,1.273E-4,3.912,-8.969
50,1,60,0.806,60,8.842E-5,4.094,-9.333
60,1,70,0.885,70,6.496E-5,4.248,-9.642
70,1,80,1.008,80,4.974E-5,4.382,-9.909
80,1,90,1.111,90,3.930E-5,4.500,-10.144
90,1,100,1.155,100,3.183E-5,4.605,-10.355
100,1,110,1.127,110,2.631E-5,4.700,-10.546
110,1,120,1.042,120,2.210E-5,4.787,-10.720
120,1,130,0.929,130,1.883E-5,4.868,-10.880
130,1,140,0.829,140,1.624E-5,4.942,-11.028
140,1,150,0.783,150,1.415E-5,5.011,-11.166
150,1,160,0.827,160,1.243E-5,5.075,-11.295
160,1,170,0.982,170,1.101E-5,5.136,-11.416
170,1,180,1.255,180,9.824E-6,5.193,-11.531
180,1,190,1.633,190,8.817E-6,5.247,-11.639
190,1,200,2.086,200,1.592E-5,5.298,-11.048
200,2,210,2.569,210,2.165E-5,5.347,-10.740
210,3,220,3.030,220,1.973E-5,5.394,-10.833
220,3,230,3.414,230,2.407E-5,5.438,-10.635
230,4,240,3.668,240,2.210E-5,5.481,-10.720
240,4,250,3.756,250,1.528E-5,5.521,-11.089
250,3,260,3.651,260,1.413E-5,5.561,-11.167
260,3,270,3.346,270,1.747E-5,5.598,-10.955
270,4,280,2.845,280,1.218E-5,5.635,-11.316
280,3,290,2.150,290,7.570E-6,5.670,-11.791
290,2,NaN,NaN,NaN,NaN,NaN,NaN
