Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,3,10,1.073,10,0.003,2.303,-5.750
10,1,20,0.777,20,7.958E-4,2.996,-7.136
20,1,30,1.075,30,3.537E-4,3.401,-7.947
30,1,40,1.207,40,1.989E-4,3.689,-8.522
40,1,50,1.078,50,1.273E-4,3.912,-8.969
50,1,60,0.856,60,8.842E-5,4.094,-9.333
60,1,70,0.741,70,6.496E-5,4.248,-9.642
70,1,80,0.852,80,4.974E-5,4.382,-9.909
80,1,90,1.194,90,3.930E-5,4.500,-10.144
90,1,100,1.687,100,3.183E-5,4.605,-10.355
100,1,110,2.209,110,7.892E-5,4.700,-9.447
110,3,120,2.648,120,4.421E-5,4.787,-10.027
120,2,130,2.939,130,5.650E-5,4.868,-9.781
130,3,140,3.081,140,6.496E-5,4.942,-9.642
140,4,150,3.132,150,4.244E-5,5.011,-10.067
150,3,160,3.174,160,3.730E-5,5.075,-10.196
160,3,170,3.271,170,2.203E-5,5.136,-10.723
170,2,180,3.418,180,3.930E-5,5.193,-10.144
180,4,190,3.514,190,4.409E-5,5.247,-10.029
190,5,200,3.372,200,1.592E-5,5.298,-11.048
200,2,210,2.811,210,2.165E-5,5.347,-10.740
210,3,220,1.846,220,1.315E-5,5.394,-11.239
220,2,230,1.044,230,6.017E-6,5.438,-12.021
230,1,NaN,NaN,NaN,NaN,NaN,NaN
