Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,0.995,10,2.387E-4,2.303,-8.340
10,1,20,1.040,20,2.984E-5,2.996,-10.420
20,1,30,0.913,30,8.842E-6,3.401,-11.636
30,1,40,0.967,40,3.730E-6,3.689,-12.499
40,1,50,1.147,50,1.910E-6,3.912,-13.168
50,1,60,1.293,60,1.105E-6,4.094,-13.715
60,1,70,1.310,70,1.392E-6,4.248,-13.485
70,2,80,1.217,80,4.663E-7,4.382,-14.578
80,1,90,1.133,90,3.275E-7,4.500,-14.932
90,1,100,1.215,100,2.387E-7,4.605,-15.248
100,1,110,1.582,110,3.587E-7,4.700,-14.841
110,2,120,2.245,120,2.763E-7,4.787,-15.102
120,2,130,3.073,130,3.260E-7,4.868,-14.936
130,3,140,3.799,140,3.480E-7,4.942,-14.871
140,4,150,4.088,150,2.829E-7,5.011,-15.078
150,4,160,3.686,160,2.331E-7,5.075,-15.272
160,4,170,2.631,170,9.718E-8,5.136,-16.147
170,2,180,1.561,180,8.187E-8,5.193,-16.318
180,2,190,2.103,190,6.961E-8,5.247,-16.480
190,2,NaN,NaN,NaN,NaN,NaN,NaN
