Radius,Inters.,Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,2,10,7.162E-4,2.303,-7.242
10,3,20,1.492E-4,2.996,-8.810
20,5,30,3.537E-5,3.401,-10.250
30,4,40,1.119E-5,3.689,-11.400
40,3,NaN,NaN,NaN,NaN
