Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,0.984,10,0.003,2.303,-5.750
10,1,20,1.094,20,7.958E-4,2.996,-7.136
20,1,30,0.791,30,3.537E-4,3.401,-7.947
30,1,40,1.165,40,1.989E-4,3.689,-8.522
40,1,50,2.082,50,2.546E-4,3.912,-8.276
50,2,60,2.827,60,2.653E-4,4.094,-8.235
60,3,70,2.899,70,1.949E-4,4.248,-8.543
70,3,80,2.372,80,9.947E-5,4.382,-9.216
80,2,90,1.677,90,7.860E-5,4.500,-9.451
90,2,100,1.127,100,3.183E-5,4.605,-10.355
100,1,110,0.980,110,2.631E-5,4.700,-10.546
110,1,NaN,NaN,NaN,NaN,NaN,NaN
