Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,4,10,1.995,10,4.775E-4,2.303,-7.647
10,2,20,1.026,20,2.984E-5,2.996,-10.420
20,1,30,0.964,30,8.842E-6,3.401,-11.636
30,1,40,0.958,40,3.730E-6,3.689,-12.499
40,1,50,1.209,50,1.910E-6,3.912,-13.168
50,1,60,1.711,60,2.210E-6,4.094,-13.022
60,2,70,2.131,70,1.392E-6,4.248,-13.485
70,2,80,2.143,80,9.325E-7,4.382,-13.885
80,2,90,1.726,90,6.550E-7,4.500,-14.239
90,2,100,1.197,100,2.387E-7,4.605,-15.248
100,1,110,0.937,110,1.794E-7,4.700,-15.534
110,1,120,0.998,120,1.382E-7,4.787,-15.795
120,1,130,1.007,130,1.087E-7,4.868,-16.035
130,1,140,0.998,140,8.700E-8,4.942,-16.257
140,1,NaN,NaN,NaN,NaN,NaN,NaN
