Radius,Inters.,Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,2,10,7.162E-4,2.303,-7.242
10,3,20,5.968E-5,2.996,-9.726
20,2,30,1.768E-5,3.401,-10.943
30,2,40,1.119E-5,3.689,-11.400
40,3,50,5.730E-6,3.912,-12.070
50,3,NaN,NaN,NaN,NaN
