Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,4,10,2.049,10,4.775E-4,2.303,-7.647
10,2,20,1.802,20,5.968E-5,2.996,-9.726
20,2,30,1.240,30,8.842E-6,3.401,-11.636
30,1,40,0.966,40,3.730E-6,3.689,-12.499
40,1,50,0.946,50,1.910E-6,3.912,-13.168
50,1,60,0.992,60,1.105E-6,4.094,-13.715
60,1,70,0.989,70,6.960E-7,4.248,-14.178
70,1,80,0.945,80,4.663E-7,4.382,-14.578
80,1,90,0.950,90,3.275E-7,4.500,-14.932
90,1,100,1.098,100,2.387E-7,4.605,-15.248
100,1,110,1.416,110,1.794E-7,4.700,-15.534
110,1,120,1.838,120,2.763E-7,4.787,-15.102
120,2,130,2.220,130,3.260E-7,4.868,-14.936
130,3,140,2.407,140,1.740E-7,4.942,-15.564
140,2,150,2.319,150,1.415E-7,5.011,-15.771
150,2,160,2.030,160,1.166E-7,5.075,-15.965
160,2,170,1.780,170,9.718E-8,5.136,-16.147
170,2,180,1.850,180,8.187E-8,5.193,-16.318
180,2,190,2.227,190,6.961E-8,5.247,-16.480
190,2,200,1.937,200,5.968E-8,5.298,-16.634
200,2,NaN,NaN,NaN,NaN,NaN,NaN
