Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,8,10,3.125,10,0.010,2.303,-4.651
10,3,20,4.754,20,0.004,2.996,-5.527
20,5,30,3.723,30,0.001,3.401,-6.561
30,4,40,2.638,40,3.979E-4,3.689,-7.829
40,2,50,2.096,50,2.546E-4,3.912,-8.276
50,2,60,1.969,60,1.768E-4,4.094,-8.640
60,2,70,2.058,70,1.299E-4,4.248,-8.949
70,2,80,2.326,80,1.989E-4,4.382,-8.522
80,4,90,2.873,90,7.860E-5,4.500,-9.451
90,2,100,3.810,100,1.273E-4,4.605,-8.969
100,4,110,5.118,110,7.892E-5,4.700,-9.447
110,3,120,6.576,120,1.105E-4,4.787,-9.110
120,5,130,7.788,130,2.449E-4,4.868,-8.315
130,13,140,8.310,140,1.462E-4,4.942,-8.831
140,9,150,7.844,150,7.074E-5,5.011,-9.557
150,5,160,6.436,160,3.730E-5,5.075,-10.196
160,3,170,4.574,170,9.913E-5,5.136,-9.219
170,9,180,3.036,180,2.947E-5,5.193,-10.432
180,3,190,2.345,190,8.817E-6,5.247,-11.639
190,1,200,1.599,200,1.592E-5,5.298,-11.048
200,2,NaN,NaN,NaN,NaN,NaN,NaN
