Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,0.955,10,0.003,2.303,-5.750
10,1,20,1.064,20,7.958E-4,2.996,-7.136
20,1,30,1.045,30,3.537E-4,3.401,-7.947
30,1,40,0.992,40,1.989E-4,3.689,-8.522
40,1,50,0.951,50,1.273E-4,3.912,-8.969
50,1,60,0.942,60,8.842E-5,4.094,-9.333
60,1,70,0.961,70,6.496E-5,4.248,-9.642
70,1,80,0.998,80,4.974E-5,4.382,-9.909
80,1,90,1.037,90,3.930E-5,4.500,-10.144
90,1,100,1.065,100,3.183E-5,4.605,-10.355
100,1,110,1.071,110,2.631E-5,4.700,-10.546
110,1,120,1.053,120,2.210E-5,4.787,-10.720
120,1,130,1.014,130,1.883E-5,4.868,-10.880
130,1,140,0.962,140,1.624E-5,4.942,-11.028
140,1,150,0.913,150,1.415E-5,5.011,-11.166
150,1,160,0.882,160,1.243E-5,5.075,-11.295
160,1,170,0.885,170,1.101E-5,5.136,-11.416
170,1,180,0.937,180,9.824E-6,5.193,-11.531
180,1,190,1.047,190,8.817E-6,5.247,-11.639
190,1,200,1.218,200,7.958E-6,5.298,-11.741
200,1,210,1.443,210,7.218E-6,5.347,-11.839
210,1,220,1.706,220,1.315E-5,5.394,-11.239
220,2,230,1.983,230,1.203E-5,5.438,-11.328
230,2,240,2.242,240,1.105E-5,5.481,-11.413
240,2,250,2.443,250,1.528E-5,5.521,-11.089
250,3,260,2.549,260,1.413E-5,5.561,-11.167
260,3,270,2.525,270,8.733E-6,5.598,-11.648
270,2,280,2.351,280,8.120E-6,5.635,-11.721
280,2,290,2.032,290,7.570E-6,5.670,-11.791
290,2,300,1.609,300,7.074E-6,5.704,-11.859
300,2,310,1.177,310,3.312E-6,5.737,-12.618
310,1,320,0.903,320,3.108E-6,5.768,-12.681
320,1,330,1.046,330,2.923E-6,5.799,-12.743
330,1,NaN,NaN,NaN,NaN,NaN,NaN
