Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,0.897,10,0.003,2.303,-5.750
10,1,20,1.184,20,7.958E-4,2.996,-7.136
20,1,30,1.080,30,3.537E-4,3.401,-7.947
30,1,40,0.923,40,1.989E-4,3.689,-8.522
40,1,50,0.850,50,1.273E-4,3.912,-8.969
50,1,60,0.880,60,8.842E-5,4.094,-9.333
60,1,70,0.976,70,6.496E-5,4.248,-9.642
70,1,80,1.083,80,4.974E-5,4.382,-9.909
80,1,90,1.154,90,3.930E-5,4.500,-10.144
90,1,100,1.162,100,3.183E-5,4.605,-10.355
100,1,110,1.104,110,2.631E-5,4.700,-10.546
110,1,120,1.000,120,2.210E-5,4.787,-10.720
120,1,130,0.883,130,1.883E-5,4.868,-10.880
130,1,140,0.791,140,1.624E-5,4.942,-11.028
140,1,150,0.759,150,1.415E-5,5.011,-11.166
150,1,160,0.813,160,1.243E-5,5.075,-11.295
160,1,170,0.961,170,1.101E-5,5.136,-11.416
170,1,180,1.190,180,9.824E-6,5.193,-11.531
180,1,190,1.471,190,8.817E-6,5.247,-11.639
190,1,200,1.759,200,7.958E-6,5.298,-11.741
200,1,210,2.002,210,1.444E-5,5.347,-11.146
210,2,220,2.146,220,1.973E-5,5.394,-10.833
220,3,230,2.154,230,1.805E-5,5.438,-10.922
230,3,240,2.008,240,1.105E-5,5.481,-11.413
240,2,250,1.725,250,5.093E-6,5.521,-12.188
250,1,260,1.357,260,4.709E-6,5.561,-12.266
260,1,270,0.995,270,4.366E-6,5.598,-12.342
270,1,280,0.759,280,4.060E-6,5.635,-12.414
280,1,290,0.779,290,3.785E-6,5.670,-12.484
290,1,300,1.156,300,3.537E-6,5.704,-12.552
300,1,NaN,NaN,NaN,NaN,NaN,NaN
