Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,4,10,3.078,10,7.162E-4,2.303,-7.242
10,3,20,1.690,20,5.968E-5,2.996,-9.726
20,2,30,1.301,30,8.842E-6,3.401,-11.636
30,1,40,1.135,40,3.730E-6,3.689,-12.499
40,1,50,0.935,50,1.910E-6,3.912,-13.168
50,1,60,0.745,60,1.105E-6,4.094,-13.715
60,1,70,0.725,70,6.960E-7,4.248,-14.178
70,1,80,1.009,80,4.663E-7,4.382,-14.578
80,1,90,1.628,90,3.275E-7,4.500,-14.932
90,1,100,2.474,100,2.387E-7,4.605,-15.248
100,1,110,3.329,110,1.076E-6,4.700,-13.742
110,6,120,3.926,120,5.526E-7,4.787,-14.409
120,4,130,4.042,130,3.260E-7,4.868,-14.936
130,3,140,3.594,140,2.610E-7,4.942,-15.159
140,3,150,2.711,150,2.122E-7,5.011,-15.366
150,3,160,1.759,160,1.166E-7,5.075,-15.965
160,2,170,1.268,170,9.718E-8,5.136,-16.147
170,2,180,1.726,180,4.093E-8,5.193,-17.011
180,1,190,3.187,190,1.044E-7,5.247,-16.075
190,3,200,4.643,200,1.492E-7,5.298,-15.718
200,5,210,3.094,210,7.733E-8,5.347,-16.375
210,3,NaN,NaN,NaN,NaN,NaN,NaN
