Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.045,10,2.387E-4,2.303,-8.340
10,1,20,0.936,20,2.984E-5,2.996,-10.420
20,1,30,0.949,30,8.842E-6,3.401,-11.636
30,1,40,1.008,40,3.730E-6,3.689,-12.499
40,1,50,1.061,50,1.910E-6,3.912,-13.168
50,1,60,1.076,60,1.105E-6,4.094,-13.715
60,1,70,1.047,70,6.960E-7,4.248,-14.178
70,1,80,0.985,80,4.663E-7,4.382,-14.578
80,1,90,0.917,90,3.275E-7,4.500,-14.932
90,1,100,0.879,100,2.387E-7,4.605,-15.248
100,1,110,0.905,110,1.794E-7,4.700,-15.534
110,1,120,1.029,120,1.382E-7,4.787,-15.795
120,1,130,1.270,130,1.087E-7,4.868,-16.035
130,1,140,1.636,140,1.740E-7,4.942,-15.564
140,2,150,2.119,150,1.415E-7,5.011,-15.771
150,2,160,2.695,160,1.166E-7,5.075,-15.965
160,2,170,3.326,170,1.458E-7,5.136,-15.741
170,3,180,3.961,180,2.047E-7,5.193,-15.402
180,5,190,4.545,190,1.740E-7,5.247,-15.564
190,5,200,5.022,200,1.492E-7,5.298,-15.718
200,5,210,5.341,210,1.289E-7,5.347,-15.864
210,5,220,5.465,220,1.121E-7,5.394,-16.004
220,5,230,5.370,230,9.811E-8,5.438,-16.137
230,5,240,5.054,240,8.635E-8,5.481,-16.265
240,5,250,4.533,250,9.167E-8,5.521,-16.205
250,6,260,3.838,260,4.075E-8,5.561,-17.016
260,3,270,3.002,270,3.639E-8,5.598,-17.129
270,3,280,2.044,280,2.175E-8,5.635,-17.644
280,2,290,0.943,290,9.789E-9,5.670,-18.442
290,1,NaN,NaN,NaN,NaN,NaN,NaN
