Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,4,10,2.006,10,4.775E-4,2.303,-7.647
10,2,20,1.949,20,5.968E-5,2.996,-9.726
20,2,30,2.105,30,1.768E-5,3.401,-10.943
30,2,40,2.033,40,7.460E-6,3.689,-11.806
40,2,50,1.699,50,3.820E-6,3.912,-12.475
50,2,60,1.271,60,1.105E-6,4.094,-13.715
60,1,70,0.958,70,6.960E-7,4.248,-14.178
70,1,80,0.926,80,4.663E-7,4.382,-14.578
80,1,90,1.240,90,3.275E-7,4.500,-14.932
90,1,100,1.857,100,4.775E-7,4.605,-14.555
100,2,110,2.642,110,5.381E-7,4.700,-14.435
110,3,120,3.403,120,4.145E-7,4.787,-14.696
120,3,130,3.941,130,4.347E-7,4.868,-14.649
130,4,140,4.095,140,3.480E-7,4.942,-14.871
140,4,150,3.790,150,2.829E-7,5.011,-15.078
150,4,160,3.059,160,1.749E-7,5.075,-15.559
160,3,170,2.046,170,9.718E-8,5.136,-16.147
170,2,180,0.980,180,4.093E-8,5.193,-17.011
180,1,NaN,NaN,NaN,NaN,NaN,NaN
