Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,6,10,5.062,10,0.001,2.303,-6.731
10,5,20,3.761,20,1.194E-4,2.996,-9.033
20,4,30,2.218,30,1.768E-5,3.401,-10.943
30,2,40,1.175,40,3.730E-6,3.689,-12.499
40,1,50,0.764,50,1.910E-6,3.912,-13.168
50,1,60,0.819,60,1.105E-6,4.094,-13.715
60,1,70,1.096,70,6.960E-7,4.248,-14.178
70,1,80,1.408,80,4.663E-7,4.382,-14.578
80,1,90,1.682,90,6.550E-7,4.500,-14.239
90,2,100,1.974,100,4.775E-7,4.605,-14.555
100,2,110,2.434,110,5.381E-7,4.700,-14.435
110,3,120,3.246,120,2.763E-7,4.787,-15.102
120,2,130,4.555,130,5.433E-7,4.868,-14.426
130,5,140,6.396,140,5.220E-7,4.942,-14.466
140,6,150,8.639,150,7.781E-7,5.011,-14.066
150,11,160,10.959,160,5.246E-7,5.075,-14.461
160,9,170,12.858,170,5.831E-7,5.136,-14.355
170,12,180,13.735,180,5.731E-7,5.193,-14.372
180,14,190,13.038,190,5.569E-7,5.247,-14.401
190,16,200,10.490,200,2.089E-7,5.298,-15.381
200,7,210,6.431,210,2.062E-7,5.347,-15.394
210,8,220,2.257,220,4.484E-8,5.394,-16.920
220,2,230,1.002,230,1.962E-8,5.438,-17.747
230,1,NaN,NaN,NaN,NaN,NaN,NaN
