Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,5,10,4.678,10,0.001,2.303,-6.731
10,5,20,1.808,20,2.984E-5,2.996,-10.420
20,1,30,0.768,30,8.842E-6,3.401,-11.636
30,1,40,0.614,40,3.730E-6,3.689,-12.499
40,1,50,0.797,50,1.910E-6,3.912,-13.168
50,1,60,1.028,60,1.105E-6,4.094,-13.715
60,1,70,1.181,70,6.960E-7,4.248,-14.178
70,1,80,1.223,80,4.663E-7,4.382,-14.578
80,1,90,1.171,90,3.275E-7,4.500,-14.932
90,1,100,1.061,100,2.387E-7,4.605,-15.248
100,1,110,0.933,110,1.794E-7,4.700,-15.534
110,1,120,0.825,120,1.382E-7,4.787,-15.795
120,1,130,0.770,130,1.087E-7,4.868,-16.035
130,1,140,0.791,140,8.700E-8,4.942,-16.257
140,1,150,0.908,150,7.074E-8,5.011,-16.464
150,1,160,1.131,160,5.828E-8,5.075,-16.658
160,1,170,1.459,170,4.859E-8,5.136,-16.840
170,1,180,1.874,180,8.187E-8,5.193,-16.318
180,2,190,2.339,190,6.961E-8,5.247,-16.480
190,2,200,2.793,200,5.968E-8,5.298,-16.634
200,2,210,3.157,210,1.031E-7,5.347,-16.087
210,4,220,3.335,220,1.121E-7,5.394,-16.004
220,5,230,3.244,230,5.886E-8,5.438,-16.648
230,3,240,2.843,240,1.727E-8,5.481,-17.874
240,1,250,2.196,250,3.056E-8,5.521,-17.304
250,2,260,1.562,260,4.075E-8,5.561,-17.016
260,3,270,1.510,270,1.213E-8,5.598,-18.228
270,1,NaN,NaN,NaN,NaN,NaN,NaN
