Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,7,10,4.974,10,0.001,2.303,-6.731
10,5,20,4.111,20,1.194E-4,2.996,-9.033
20,4,30,2.895,30,2.653E-5,3.401,-10.537
30,3,40,1.874,40,7.460E-6,3.689,-11.806
40,2,50,1.239,50,1.910E-6,3.912,-13.168
50,1,60,0.967,60,1.105E-6,4.094,-13.715
60,1,70,0.930,70,6.960E-7,4.248,-14.178
70,1,80,0.984,80,4.663E-7,4.382,-14.578
80,1,90,1.025,90,3.275E-7,4.500,-14.932
90,1,100,1.013,100,2.387E-7,4.605,-15.248
100,1,110,0.979,110,1.794E-7,4.700,-15.534
110,1,120,0.999,120,1.382E-7,4.787,-15.795
120,1,130,1.166,130,1.087E-7,4.868,-16.035
130,1,140,1.543,140,1.740E-7,4.942,-15.564
140,2,150,2.121,150,1.415E-7,5.011,-15.771
150,2,160,2.800,160,1.166E-7,5.075,-15.965
160,2,170,3.380,170,1.944E-7,5.136,-15.454
170,4,180,3.610,180,1.637E-7,5.193,-15.625
180,4,190,3.286,190,1.044E-7,5.247,-16.075
190,3,200,2.431,200,5.968E-8,5.298,-16.634
200,2,210,1.566,210,5.156E-8,5.347,-16.781
210,2,220,2.108,220,4.484E-8,5.394,-16.920
220,2,NaN,NaN,NaN,NaN,NaN,NaN
