Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,5,10,4.082,10,0.013,2.303,-4.364
10,4,20,3.550,20,0.003,2.996,-5.750
20,4,30,2.938,30,7.074E-4,3.401,-7.254
30,2,40,2.113,40,5.968E-4,3.689,-7.424
40,3,50,1.360,50,1.273E-4,3.912,-8.969
50,1,60,0.935,60,8.842E-5,4.094,-9.333
60,1,70,0.919,70,6.496E-5,4.248,-9.642
70,1,80,1.240,80,4.974E-5,4.382,-9.909
80,1,90,1.772,90,7.860E-5,4.500,-9.451
90,2,100,2.428,100,6.366E-5,4.605,-9.662
100,2,110,3.214,110,1.052E-4,4.700,-9.159
110,4,120,4.206,120,8.842E-5,4.787,-9.333
120,4,130,5.466,130,7.534E-5,4.868,-9.494
130,4,140,6.910,140,1.462E-4,4.942,-8.831
140,9,150,8.202,150,1.132E-4,5.011,-9.087
150,8,160,8.724,160,8.704E-5,5.075,-9.349
160,7,170,7.751,170,9.913E-5,5.136,-9.219
170,9,180,4.948,180,4.912E-5,5.193,-9.921
180,5,190,1.333,190,8.817E-6,5.247,-11.639
190,1,200,0.907,200,7.958E-6,5.298,-11.741
200,1,NaN,NaN,NaN,NaN,NaN,NaN
