Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,2,10,2.153,10,0.006,2.303,-5.057
10,2,20,4.409,20,0.004,2.996,-5.527
20,5,30,5.028,30,0.001,3.401,-6.561
30,4,40,4.991,40,0.001,3.689,-6.731
40,6,50,4.770,50,6.366E-4,3.912,-7.359
50,5,60,4.533,60,2.653E-4,4.094,-8.235
60,3,70,4.294,70,3.248E-4,4.248,-8.032
70,5,80,4.006,80,1.492E-4,4.382,-8.810
80,3,90,3.625,90,2.358E-4,4.500,-8.353
90,6,100,3.134,100,9.549E-5,4.605,-9.256
100,3,110,2.554,110,5.261E-5,4.700,-9.853
110,2,120,1.940,120,2.210E-5,4.787,-10.720
120,1,130,1.363,130,1.883E-5,4.868,-10.880
130,1,140,0.899,140,1.624E-5,4.942,-11.028
140,1,150,0.605,150,1.415E-5,5.011,-11.166
150,1,160,0.511,160,1.243E-5,5.075,-11.295
160,1,170,0.615,170,1.101E-5,5.136,-11.416
170,1,180,0.879,180,9.824E-6,5.193,-11.531
180,1,190,1.241,190,8.817E-6,5.247,-11.639
190,1,200,1.621,200,7.958E-6,5.298,-11.741
200,1,210,1.946,210,7.218E-6,5.347,-11.839
210,1,220,2.163,220,1.973E-5,5.394,-10.833
220,3,230,2.253,230,1.805E-5,5.438,-10.922
230,3,240,2.237,240,1.105E-5,5.481,-11.413
240,2,250,2.171,250,1.019E-5,5.521,-11.495
250,2,260,2.111,260,9.417E-6,5.561,-11.573
260,2,270,2.056,270,8.733E-6,5.598,-11.648
270,2,280,1.852,280,8.120E-6,5.635,-11.721
280,2,290,1.040,290,3.785E-6,5.670,-12.484
290,1,NaN,NaN,NaN,NaN,NaN,NaN
