Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,6,10,5.053,10,0.016,2.303,-4.140
10,5,20,4.826,20,0.004,2.996,-5.527
20,5,30,4.155,30,0.001,3.401,-6.561
30,4,40,2.827,40,5.968E-4,3.689,-7.424
40,3,50,1.490,50,1.273E-4,3.912,-8.969
50,1,60,0.748,60,8.842E-5,4.094,-9.333
60,1,70,0.820,70,6.496E-5,4.248,-9.642
70,1,80,1.543,80,9.947E-5,4.382,-9.216
80,2,90,2.554,90,7.860E-5,4.500,-9.451
90,2,100,3.521,100,1.273E-4,4.605,-8.969
100,4,110,4.313,110,5.261E-5,4.700,-9.853
110,2,120,5.059,120,1.768E-4,4.787,-8.640
120,8,130,6.079,130,7.534E-5,4.868,-9.494
130,4,140,7.686,140,1.624E-4,4.942,-8.725
140,10,150,9.930,150,1.415E-4,5.011,-8.863
150,10,160,12.363,160,1.119E-4,5.075,-9.098
160,9,170,13.960,170,1.542E-4,5.136,-8.777
170,14,180,13.358,180,1.867E-4,5.193,-8.586
180,19,190,9.620,190,3.527E-5,5.247,-10.252
190,4,200,3.763,200,4.775E-5,5.298,-9.950
200,6,210,1.331,210,7.218E-6,5.347,-11.839
210,1,NaN,NaN,NaN,NaN,NaN,NaN
