Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,2,10,9.852,10,0.002,2.303,-6.038
10,10,20,5.581,20,1.492E-4,2.996,-8.810
20,5,30,4.282,30,4.421E-5,3.401,-10.027
30,5,40,4.146,40,1.492E-5,3.689,-11.113
40,4,50,4.217,50,7.639E-6,3.912,-11.782
50,4,60,4.087,60,4.421E-6,4.094,-12.329
60,4,70,3.670,70,2.784E-6,4.248,-12.792
70,4,80,3.044,80,1.399E-6,4.382,-13.480
80,3,90,2.348,90,6.550E-7,4.500,-14.239
90,2,100,1.711,100,4.775E-7,4.605,-14.555
100,2,110,1.225,110,1.794E-7,4.700,-15.534
110,1,120,0.929,120,1.382E-7,4.787,-15.795
120,1,130,0.820,130,1.087E-7,4.868,-16.035
130,1,140,0.858,140,8.700E-8,4.942,-16.257
140,1,150,0.987,150,7.074E-8,5.011,-16.464
150,1,160,1.151,160,5.828E-8,5.075,-16.658
160,1,170,1.300,170,4.859E-8,5.136,-16.840
170,1,180,1.404,180,4.093E-8,5.193,-17.011
180,1,190,1.446,190,6.961E-8,5.247,-16.480
190,2,200,1.426,200,5.968E-8,5.298,-16.634
200,2,210,1.350,210,2.578E-8,5.347,-17.474
210,1,220,1.229,220,2.242E-8,5.394,-17.613
220,1,230,1.077,230,1.962E-8,5.438,-17.747
230,1,240,0.928,240,1.727E-8,5.481,-17.874
240,1,250,0.863,250,1.528E-8,5.521,-17.997
250,1,260,1.068,260,1.358E-8,5.561,-18.114
260,1,NaN,NaN,NaN,NaN,NaN,NaN
