Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,5,10,5.534,10,0.019,2.303,-3.958
10,6,20,9.836,20,0.006,2.996,-5.057
20,8,30,4.149,30,0.002,3.401,-6.155
30,6,40,2.817,40,7.958E-4,3.689,-7.136
40,4,50,7.096,50,6.366E-4,3.912,-7.359
50,5,60,12.430,60,9.726E-4,4.094,-6.936
60,11,70,14.690,70,0.001,4.248,-6.869
70,16,80,13.418,80,8.455E-4,4.382,-7.076
80,17,90,11.468,90,3.144E-4,4.500,-8.065
90,8,100,11.861,100,3.183E-4,4.605,-8.052
100,10,110,14.031,110,4.735E-4,4.700,-7.655
110,18,120,13.027,120,2.432E-4,4.787,-8.322
120,11,130,6.642,130,1.318E-4,4.868,-8.934
130,7,NaN,NaN,NaN,NaN,NaN,NaN
