Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.089,10,2.387E-4,2.303,-8.340
10,1,20,0.866,20,2.984E-5,2.996,-10.420
20,1,30,0.894,30,8.842E-6,3.401,-11.636
30,1,40,1.027,40,3.730E-6,3.689,-12.499
40,1,50,1.160,50,1.910E-6,3.912,-13.168
50,1,60,1.241,60,1.105E-6,4.094,-13.715
60,1,70,1.272,70,6.960E-7,4.248,-14.178
70,1,80,1.288,80,9.325E-7,4.382,-13.885
80,2,90,1.339,90,6.550E-7,4.500,-14.239
90,2,100,1.466,100,2.387E-7,4.605,-15.248
100,1,110,1.687,110,1.794E-7,4.700,-15.534
110,1,120,1.987,120,2.763E-7,4.787,-15.102
120,2,130,2.315,130,2.173E-7,4.868,-15.342
130,2,140,2.601,140,2.610E-7,4.942,-15.159
140,3,150,2.764,150,2.829E-7,5.011,-15.078
150,4,160,2.741,160,1.166E-7,5.075,-15.965
160,2,170,2.506,170,9.718E-8,5.136,-16.147
170,2,180,2.089,180,8.187E-8,5.193,-16.318
180,2,190,1.585,190,6.961E-8,5.247,-16.480
190,2,200,1.138,200,2.984E-8,5.298,-17.327
200,1,210,0.901,210,2.578E-8,5.347,-17.474
210,1,220,0.949,220,2.242E-8,5.394,-17.613
220,1,230,1.148,230,1.962E-8,5.438,-17.747
230,1,240,0.947,240,1.727E-8,5.481,-17.874
240,1,NaN,NaN,NaN,NaN,NaN,NaN
