Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,1.018,10,0.003,2.303,-5.750
10,1,20,0.965,20,7.958E-4,2.996,-7.136
20,1,30,0.980,30,3.537E-4,3.401,-7.947
30,1,40,1.031,40,1.989E-4,3.689,-8.522
40,1,50,1.051,50,1.273E-4,3.912,-8.969
50,1,60,1.010,60,8.842E-5,4.094,-9.333
60,1,70,0.941,70,6.496E-5,4.248,-9.642
70,1,80,0.916,80,4.974E-5,4.382,-9.909
80,1,90,1.010,90,3.930E-5,4.500,-10.144
90,1,100,1.266,100,3.183E-5,4.605,-10.355
100,1,110,1.660,110,5.261E-5,4.700,-9.853
110,2,120,2.094,120,4.421E-5,4.787,-10.027
120,2,130,2.408,130,3.767E-5,4.868,-10.187
130,2,140,2.431,140,4.872E-5,4.942,-9.929
140,3,150,2.058,150,2.829E-5,5.011,-10.473
150,2,160,1.364,160,1.243E-5,5.075,-11.295
160,1,170,0.740,170,1.101E-5,5.136,-11.416
170,1,180,1.056,180,9.824E-6,5.193,-11.531
180,1,NaN,NaN,NaN,NaN,NaN,NaN
