Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.009,10,2.387E-4,2.303,-8.340
10,1,20,0.949,20,2.984E-5,2.996,-10.420
20,1,30,1.020,30,8.842E-6,3.401,-11.636
30,1,40,1.049,40,3.730E-6,3.689,-12.499
40,1,50,1.068,50,1.910E-6,3.912,-13.168
50,1,60,1.176,60,1.105E-6,4.094,-13.715
60,1,70,1.445,70,1.392E-6,4.248,-13.485
70,2,80,1.887,80,9.325E-7,4.382,-13.885
80,2,90,2.444,90,6.550E-7,4.500,-14.239
90,2,100,3.008,100,7.162E-7,4.605,-14.149
100,3,110,3.453,110,5.381E-7,4.700,-14.435
110,3,120,3.663,120,5.526E-7,4.787,-14.409
120,4,130,3.568,130,4.347E-7,4.868,-14.649
130,4,140,3.165,140,2.610E-7,4.942,-15.159
140,3,150,2.527,150,2.122E-7,5.011,-15.366
150,3,160,1.794,160,5.828E-8,5.075,-16.658
160,1,170,1.145,170,4.859E-8,5.136,-16.840
170,1,180,0.752,180,4.093E-8,5.193,-17.011
180,1,190,0.718,190,3.481E-8,5.247,-17.173
190,1,200,0.991,200,2.984E-8,5.298,-17.327
200,1,210,1.269,210,2.578E-8,5.347,-17.474
210,1,220,0.900,220,2.242E-8,5.394,-17.613
220,1,NaN,NaN,NaN,NaN,NaN,NaN
