Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,3,10,1.020,10,2.387E-4,2.303,-8.340
10,1,20,0.904,20,2.984E-5,2.996,-10.420
20,1,30,1.143,30,8.842E-6,3.401,-11.636
30,1,40,2.018,40,7.460E-6,3.689,-11.806
40,2,50,2.811,50,5.730E-6,3.912,-12.070
50,3,60,2.954,60,3.316E-6,4.094,-12.617
60,3,70,2.422,70,1.392E-6,4.248,-13.485
70,2,80,1.631,80,9.325E-7,4.382,-13.885
80,2,90,1.083,90,3.275E-7,4.500,-14.932
90,1,100,0.983,100,2.387E-7,4.605,-15.248
100,1,110,1.075,110,1.794E-7,4.700,-15.534
110,1,120,0.943,120,1.382E-7,4.787,-15.795
120,1,130,1.013,130,1.087E-7,4.868,-16.035
130,1,NaN,NaN,NaN,NaN,NaN,NaN
