Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,5.526,10,0.016,2.303,-4.140
10,5,20,3.170,20,0.003,2.996,-5.750
20,4,30,2.424,30,0.001,3.401,-6.849
30,3,40,2.399,40,3.979E-4,3.689,-7.829
40,2,50,2.583,50,2.546E-4,3.912,-8.276
50,2,60,2.722,60,1.768E-4,4.094,-8.640
60,2,70,2.720,70,1.299E-4,4.248,-8.949
70,2,80,2.577,80,9.947E-5,4.382,-9.216
80,2,90,2.336,90,2.751E-4,4.500,-8.198
90,7,100,2.054,100,3.183E-5,4.605,-10.355
100,1,110,1.778,110,2.631E-5,4.700,-10.546
110,1,120,1.541,120,2.210E-5,4.787,-10.720
120,1,130,1.355,130,1.883E-5,4.868,-10.880
130,1,140,1.217,140,1.624E-5,4.942,-11.028
140,1,150,1.114,150,1.415E-5,5.011,-11.166
150,1,160,1.029,160,1.243E-5,5.075,-11.295
160,1,170,0.948,170,1.101E-5,5.136,-11.416
170,1,180,0.864,180,9.824E-6,5.193,-11.531
180,1,190,0.784,190,8.817E-6,5.247,-11.639
190,1,200,0.722,200,7.958E-6,5.298,-11.741
200,1,210,0.704,210,7.218E-6,5.347,-11.839
210,1,220,0.758,220,6.577E-6,5.394,-11.932
220,1,230,0.910,230,6.017E-6,5.438,-12.021
230,1,240,1.175,240,5.526E-6,5.481,-12.106
240,1,250,1.546,250,5.093E-6,5.521,-12.188
250,1,260,1.994,260,4.709E-6,5.561,-12.266
260,1,270,2.458,270,8.733E-6,5.598,-11.648
270,2,280,2.852,280,1.624E-5,5.635,-11.028
280,4,290,3.073,290,1.514E-5,5.670,-11.098
290,4,300,3.024,300,1.061E-5,5.704,-11.454
300,3,310,2.647,310,6.625E-6,5.737,-11.925
310,2,320,1.975,320,6.217E-6,5.768,-11.988
320,2,330,1.209,330,2.923E-6,5.799,-12.743
330,1,340,0.813,340,2.754E-6,5.829,-12.803
340,1,NaN,NaN,NaN,NaN,NaN,NaN
