Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,4,10,2.054,10,0.006,2.303,-5.057
10,2,20,1.769,20,0.002,2.996,-6.443
20,2,30,1.292,30,3.537E-4,3.401,-7.947
30,1,40,0.984,40,1.989E-4,3.689,-8.522
40,1,50,0.893,50,1.273E-4,3.912,-8.969
50,1,60,0.933,60,8.842E-5,4.094,-9.333
60,1,70,1.000,70,6.496E-5,4.248,-9.642
70,1,80,1.037,80,4.974E-5,4.382,-9.909
80,1,90,1.048,90,3.930E-5,4.500,-10.144
90,1,100,1.087,100,3.183E-5,4.605,-10.355
100,1,110,1.219,110,2.631E-5,4.700,-10.546
110,1,120,1.487,120,4.421E-5,4.787,-10.027
120,2,130,1.869,130,3.767E-5,4.868,-10.187
130,2,140,2.269,140,3.248E-5,4.942,-10.335
140,2,150,2.520,150,2.829E-5,5.011,-10.473
150,2,160,2.441,160,3.730E-5,5.075,-10.196
160,3,170,1.946,170,2.203E-5,5.136,-10.723
170,2,180,1.214,180,9.824E-6,5.193,-11.531
180,1,190,0.939,190,8.817E-6,5.247,-11.639
190,1,NaN,NaN,NaN,NaN,NaN,NaN
