Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,5,10,2.901,10,7.162E-4,2.303,-7.242
10,3,20,2.449,20,5.968E-5,2.996,-9.726
20,2,30,2.520,30,2.653E-5,3.401,-10.537
30,3,40,2.621,40,1.119E-5,3.689,-11.400
40,3,50,2.564,50,3.820E-6,3.912,-12.475
50,2,60,2.336,60,2.210E-6,4.094,-13.022
60,2,70,2.006,70,1.392E-6,4.248,-13.485
70,2,80,1.664,80,9.325E-7,4.382,-13.885
80,2,90,1.389,90,6.550E-7,4.500,-14.239
90,2,100,1.227,100,2.387E-7,4.605,-15.248
100,1,110,1.191,110,1.794E-7,4.700,-15.534
110,1,120,1.265,120,1.382E-7,4.787,-15.795
120,1,130,1.414,130,1.087E-7,4.868,-16.035
130,1,140,1.597,140,1.740E-7,4.942,-15.564
140,2,150,1.773,150,1.415E-7,5.011,-15.771
150,2,160,1.916,160,1.166E-7,5.075,-15.965
160,2,170,2.011,170,9.718E-8,5.136,-16.147
170,2,180,2.062,180,8.187E-8,5.193,-16.318
180,2,190,2.078,190,6.961E-8,5.247,-16.480
190,2,200,2.072,200,5.968E-8,5.298,-16.634
200,2,210,2.052,210,5.156E-8,5.347,-16.781
210,2,220,2.007,220,4.484E-8,5.394,-16.920
220,2,230,1.909,230,3.924E-8,5.438,-17.054
230,2,240,1.714,240,3.454E-8,5.481,-17.181
240,2,250,1.376,250,1.528E-8,5.521,-17.997
250,1,260,0.885,260,1.358E-8,5.561,-18.114
260,1,NaN,NaN,NaN,NaN,NaN,NaN
