Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,6,10,3.970,10,0.013,2.303,-4.364
10,4,20,1.140,20,7.958E-4,2.996,-7.136
20,1,30,0.817,30,3.537E-4,3.401,-7.947
30,1,40,0.967,40,1.989E-4,3.689,-8.522
40,1,50,1.110,50,1.273E-4,3.912,-8.969
50,1,60,1.293,60,8.842E-5,4.094,-9.333
60,1,70,1.587,70,1.299E-4,4.248,-8.949
70,2,80,1.929,80,9.947E-5,4.382,-9.216
80,2,90,2.165,90,7.860E-5,4.500,-9.451
90,2,100,2.175,100,6.366E-5,4.605,-9.662
100,2,110,1.975,110,5.261E-5,4.700,-9.853
110,2,120,1.760,120,4.421E-5,4.787,-10.027
120,2,130,1.849,130,3.767E-5,4.868,-10.187
130,2,140,2.533,140,3.248E-5,4.942,-10.335
140,2,150,3.874,150,5.659E-5,5.011,-9.780
150,4,160,5.507,160,7.460E-5,5.075,-9.503
160,6,170,6.552,170,6.609E-5,5.136,-9.625
170,6,180,5.757,180,5.895E-5,5.193,-9.739
180,6,190,2.041,190,1.763E-5,5.247,-10.946
190,2,NaN,NaN,NaN,NaN,NaN,NaN
