Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,0.987,10,0.003,2.303,-5.750
10,1,20,1.022,20,7.958E-4,2.996,-7.136
20,1,30,1.013,30,3.537E-4,3.401,-7.947
30,1,40,0.991,40,1.989E-4,3.689,-8.522
40,1,50,0.976,50,1.273E-4,3.912,-8.969
50,1,60,0.979,60,8.842E-5,4.094,-9.333
60,1,70,0.995,70,6.496E-5,4.248,-9.642
70,1,80,1.017,80,4.974E-5,4.382,-9.909
80,1,90,1.034,90,3.930E-5,4.500,-10.144
90,1,100,1.035,100,3.183E-5,4.605,-10.355
100,1,110,1.019,110,2.631E-5,4.700,-10.546
110,1,120,0.988,120,2.210E-5,4.787,-10.720
120,1,130,0.953,130,1.883E-5,4.868,-10.880
130,1,140,0.930,140,1.624E-5,4.942,-11.028
140,1,150,0.936,150,1.415E-5,5.011,-11.166
150,1,160,0.984,160,1.243E-5,5.075,-11.295
160,1,170,1.079,170,1.101E-5,5.136,-11.416
170,1,180,1.211,180,9.824E-6,5.193,-11.531
180,1,190,1.356,190,8.817E-6,5.247,-11.639
190,1,200,1.474,200,1.592E-5,5.298,-11.048
200,2,210,1.516,210,1.444E-5,5.347,-11.146
210,2,220,1.441,220,6.577E-6,5.394,-11.932
220,1,230,1.236,230,6.017E-6,5.438,-12.021
230,1,240,0.959,240,5.526E-6,5.481,-12.106
240,1,250,0.786,250,5.093E-6,5.521,-12.188
250,1,260,1.085,260,4.709E-6,5.561,-12.266
260,1,NaN,NaN,NaN,NaN,NaN,NaN
