Radius,Inters.,Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,4.775E-4,2.303,-7.647
10,2,20,5.968E-5,2.996,-9.726
20,2,30,1.768E-5,3.401,-10.943
30,2,40,3.730E-6,3.689,-12.499
40,1,50,1.910E-6,3.912,-13.168
50,1,60,1.105E-6,4.094,-13.715
60,1,NaN,NaN,NaN,NaN
