Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,1.115,10,0.003,2.303,-5.750
10,1,20,0.836,20,7.958E-4,2.996,-7.136
20,1,30,0.869,30,3.537E-4,3.401,-7.947
30,1,40,1.018,40,1.989E-4,3.689,-8.522
40,1,50,1.149,50,1.273E-4,3.912,-8.969
50,1,60,1.194,60,8.842E-5,4.094,-9.333
60,1,70,1.137,70,6.496E-5,4.248,-9.642
70,1,80,1.001,80,4.974E-5,4.382,-9.909
80,1,90,0.837,90,3.930E-5,4.500,-10.144
90,1,100,0.706,100,3.183E-5,4.605,-10.355
100,1,110,0.668,110,2.631E-5,4.700,-10.546
110,1,120,0.770,120,2.210E-5,4.787,-10.720
120,1,130,1.038,130,1.883E-5,4.868,-10.880
130,1,140,1.471,140,1.624E-5,4.942,-11.028
140,1,150,2.042,150,1.415E-5,5.011,-11.166
150,1,160,2.698,160,2.487E-5,5.075,-10.602
160,2,170,3.372,170,4.406E-5,5.136,-10.030
170,4,180,3.982,180,4.912E-5,5.193,-9.921
180,5,190,4.450,190,5.290E-5,5.247,-9.847
190,6,200,4.712,200,3.183E-5,5.298,-10.355
200,4,210,4.726,210,2.887E-5,5.347,-10.453
210,4,220,4.487,220,2.631E-5,5.394,-10.546
220,4,230,4.027,230,2.407E-5,5.438,-10.635
230,4,240,3.419,240,1.658E-5,5.481,-11.007
240,3,250,2.766,250,1.528E-5,5.521,-11.089
250,3,260,2.180,260,1.413E-5,5.561,-11.167
260,3,270,1.753,270,8.733E-6,5.598,-11.648
270,2,280,1.502,280,4.060E-6,5.635,-12.414
280,1,290,1.299,290,3.785E-6,5.670,-12.484
290,1,300,0.775,300,3.537E-6,5.704,-12.552
300,1,NaN,NaN,NaN,NaN,NaN,NaN
