Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,5,10,6.003,10,0.019,2.303,-3.958
10,6,20,4.842,20,0.004,2.996,-5.527
20,5,30,2.658,30,7.074E-4,3.401,-7.254
30,2,40,1.238,40,3.979E-4,3.689,-7.829
40,2,50,0.865,50,1.273E-4,3.912,-8.969
50,1,60,1.186,60,8.842E-5,4.094,-9.333
60,1,70,1.749,70,6.496E-5,4.248,-9.642
70,1,80,2.254,80,9.947E-5,4.382,-9.216
80,2,90,2.629,90,1.572E-4,4.500,-8.758
90,4,100,2.985,100,9.549E-5,4.605,-9.256
100,3,110,3.505,110,7.892E-5,4.700,-9.447
110,3,120,4.328,120,8.842E-5,4.787,-9.333
120,4,130,5.444,130,9.417E-5,4.868,-9.270
130,5,140,6.653,140,1.299E-4,4.942,-8.949
140,8,150,7.584,150,9.903E-5,5.011,-9.220
150,7,160,7.786,160,8.704E-5,5.075,-9.349
160,7,170,6.896,170,8.811E-5,5.136,-9.337
170,8,180,4.858,180,4.912E-5,5.193,-9.921
180,5,190,2.178,190,8.817E-6,5.247,-11.639
190,1,200,0.174,200,7.958E-6,5.298,-11.741
200,1,210,1.184,210,7.218E-6,5.347,-11.839
210,1,NaN,NaN,NaN,NaN,NaN,NaN
