1,5363374,"2497-18-9  ",1.2451,-0.491,0.328,0.6963,0.7503,0.2943,0.4937,-0.009,-0.4697,0.5608,0.1631,-0.5972,0.8325,0.7724,-0.0461,0.1293,-0.0296,-0.0301,0.539,-0.3688,0.329,-0.1092,-0.049,-0.2873,-0.1199,0.2708,-0.3681,-0.2102,-0.1789,1.2763,-0.4433,-0.1981
2,5284503,"928-97-2   ",0.0557,-0.491,-0.135,-0.2866,-0.3387,0.2943,0.4937,-0.8074,-1.2713,-0.4933,0.7984,-0.5972,0.001,0.3427,-0.3399,0.7248,0.0289,-0.2852,0.6444,-0.0515,1.2264,0.0198,-0.0702,0.6113,-0.2213,0.2708,-0.3681,-0.2102,-0.1789,-0.6752,-0.4433,-0.1981
3,5318042,"928-95-0   ",0.0557,-0.491,-0.1342,-0.1485,-0.3387,0.2943,0.4937,-0.8074,-1.2713,-0.4933,0.773,-0.5972,0.3323,0.4528,-0.3399,0.7248,0.0136,-0.2676,0.8197,-0.4679,1.2264,0.0413,-0.0661,0.9043,-0.2412,0.2708,-0.3681,-0.2102,-0.1789,-0.6752,-0.4433,-0.1981
4,5324489,"928-94-9   ",0.0557,-0.491,-0.1342,-0.1485,-0.3387,0.2943,0.4937,-0.8074,-1.2713,-0.4933,0.2393,-0.5972,0.7786,0.7613,-0.6739,0.7029,-0.1592,-0.0015,0.7111,-0.337,0.7443,0.0843,-0.0521,1.5197,-0.2392,0.2708,-0.3681,-0.2102,-0.1789,-0.6752,-0.4433,-0.1981
5,5368797,"11031-45-1 ",0.0557,-0.491,-1.0865,-0.2139,-0.7663,-0.1286,0.2095,2.1118,1.7425,-0.4933,-1.1075,-0.5972,-0.7167,-0.054,0.8432,1.0635,5.9995,-1.3386,1.5717,-0.4758,0.8333,-0.0447,-0.0625,-0.1994,0.576,1.9104,-0.3681,-0.2102,-0.1789,-0.6752,-0.4433,-0.1981
6,5325830,"20126-76-5 ",0.0557,-0.491,-0.2729,0.3682,-0.594,0.2943,-1.894,0.9034,1.6865,-0.4933,-1.2091,-0.5972,-1.3603,-0.8693,-0.3479,-0.2723,0.7175,-0.0675,-0.6627,-0.5472,-0.1235,-0.1521,-0.0764,-0.6975,0.1365,1.0906,-0.3681,-0.2102,-0.1789,-0.6752,-0.4433,-0.1981
7,637090,"107-93-7   ",1.2451,-0.491,0.4307,1.6912,0.1751,0.2943,0.4937,-0.8074,0.3381,0.5608,2.0435,-0.5972,1.4379,2.392,-0.6296,0.4762,-0.4565,0.7066,-0.8504,0.0198,0.0694,-0.5175,0.0514,2.389,-0.5951,-0.549,2.4267,-0.2102,-0.1789,1.2763,2.0086,-0.1981
8,444539,"140-10-3   ",1.2451,1.687,-0.1892,1.7372,-0.4218,0.2943,-1.894,-0.1015,-0.3019,0.5608,0.9762,1.679,0.0867,2.1496,0.0303,-0.6356,-1.6446,0.9749,-1.3109,-0.4005,0.5292,1.7394,-0.0087,1.1778,-0.106,-1.3688,2.4267,-0.2102,-0.1789,1.2763,2.0086,-0.1981
9,439250,"5989-54-8  ",1.2451,-0.491,-0.4232,-1.2666,-2.1322,0.2943,0.4937,0.5058,0.7606,-1.5516,-0.8788,-0.5972,-1.0761,-1.3982,0.0746,-0.1657,0.1559,0.0007,-0.2301,-0.4401,0.0397,-0.1306,-0.0713,-0.678,0.1107,0.2708,-0.3681,-0.2102,-0.1789,-0.6752,-0.4433,-0.1981
10,246728,"106-68-3   ",0.0557,-0.491,-0.0094,-0.2347,-0.4002,0.2943,0.4937,-0.419,-0.2336,-0.4933,0.1885,-0.5972,0.0572,-0.1972,-0.0139,0.3478,0.3961,-0.9515,0.7468,1.6178,0.7591,0.2133,-0.0588,-0.8147,-0.0126,0.2708,-0.3681,-0.2102,-0.1789,-0.6752,-0.4433,-0.1981
