,NumberofStemsTest,BasalDendriteNumberofBifurcationsTest,BasalDendriteNumberofBranchesTest,BasalDendriteOverallWidthTest,BasalDendriteOverallHeightTest,BasalDendriteOverallDepthTest,BasalDendriteAverageDiameterTest,BasalDendriteTotalLengthTest,BasalDendriteTotalSurfaceTest,BasalDendriteTotalVolumeTest,BasalDendriteMaxEuclideanDistanceTest,BasalDendriteMaxPathDistanceTest,BasalDendriteMaxBranchOrderTest,BasalDendriteAverageContractionTest,BasalDendritePartitionAsymmetryTest,BasalDendriteAverageRallsRatioTest,BasalDendriteAverageBifurcationAngleLocalTest,BasalDendriteAverageBifurcationAngleRemoteTest,BasalDendriteFractalDimensionTest,ApicalDendriteNumberofBifurcationsTest,ApicalDendriteNumberofBranchesTest,ApicalDendriteOverallWidthTest,ApicalDendriteOverallHeightTest,ApicalDendriteOverallDepthTest,ApicalDendriteAverageDiameterTest,ApicalDendriteTotalLengthTest,ApicalDendriteTotalSurfaceTest,ApicalDendriteTotalVolumeTest,ApicalDendriteMaxEuclideanDistanceTest,ApicalDendriteMaxPathDistanceTest,ApicalDendriteMaxBranchOrderTest,ApicalDendriteAverageContractionTest,ApicalDendritePartitionAsymmetryTest,ApicalDendriteAverageRallsRatioTest,ApicalDendriteAverageBifurcationAngleLocalTest,ApicalDendriteAverageBifurcationAngleRemoteTest,ApicalDendriteFractalDimensionTest
morphology-data/TCs/fukunaga/IF04206.CNG.swc,-0.5569098571448143,1.9462274824122299,2.3070202707249874,0.7055055751039625,1.4297629945657782,3.3686199859816015,0.44246244467362356,2.5642601901219777,2.539743194850136,3.3664464526043076,0.7499540359010403,0.9458154818294535,1.651714361579894,0.5016545758272052,-0.026014019871027607,1.647826992087654,0.056241597063909764,-0.4030110489994431,-0.008617765529297999,1.5227721293194938,0.9472391902213805,0.6450312955611945,1.5244830442984256,-0.49397410986270757,-0.3395601485007139,2.4338261032606656,2.4026366728539386,2.897741955710595,2.6036094672893126,2.101426213641139,0.9109879173354718,0.8228288509932854,0.25198725673560657,1.1534923422780479,-0.8933265144548727,1.079687103530319,-0.0653295789388364
morphology-data/TCs/fukunaga/IF04316.CNG.swc,-0.5569098571448143,-0.5980869753807514,-0.8985077382869344,-0.2737147271361555,-1.3981094468564472,0.4458235636660244,0.8790814415025963,-0.9207869592951563,-1.9202117022625802,-0.7412215296229135,-1.331632915849423,-1.9569265500557291,0.22625559678744345,0.11438315914468007,1.8381756119133636,-0.3084057814714099,0.599794769877273,2.3122615166161884,0.2724351983926136,0.7247679663959455,0.1751162772202829,-0.8338622728981789,1.7656282119229156,-0.7692513576799856,-0.3201120367221959,0.9864593743494414,0.8822180521718607,0.49668675353085506,1.1200949172869543,0.5554404753358948,-0.12856461637231037,1.0956891128325177,-0.17435244045762413,2.1397102491848847,-0.7577270672069675,-0.841270194985702,-1.3455088257429613
morphology-data/TCs/fukunaga/IF04155.CNG.swc,-1.010170210780977,0.03799163906749388,-0.542337959507832,-1.1251395302415728,-0.6186906640183693,1.4492699018133337,-1.0356421639525242,-0.4306860584460091,-1.7189567017221774,-0.8354523072120144,0.16533559032042094,-0.7700401410766216,0.7014085183849269,0.9881915070690684,0.2607836569932786,1.2801616060571208,-0.6022679892235471,-0.5232859775909013,-0.054894970915496735,0.507130467416796,-0.05087091682881884,-0.8205502222707192,-0.5934722412988882,-0.3286694308970557,-1.283604357188318,0.4345749015814173,-0.3031091283296218,-0.7570131945135544,-1.7142258600345022,-1.8932988313690158,-0.5443856298554233,1.5021238921044497,-1.3502141720442489,1.6368053332727455,0.36276412532852864,0.12811768179131863,-0.8562798055382237
morphology-data/TCs/fukunaga/IF04189.CNG.swc,-1.010170210780977,-1.5522048970531195,-2.323186853403344,-1.3535140069183111,-1.9853682940024715,-0.8191881407617161,-4.466913042206879,-1.3982356543378869,-2.589792913120392,-1.5133821391069584,-2.423676224975006,-2.9583878597171323,-1.199203168005007,-3.6529880126380014,-1.3166035657604058,-2.064133178803751,-2.4965161063758794,-2.1951438789662787,-7.590194638393962,-0.36341952849980197,-0.9548196930252257,-0.7851646825143458,-0.22944147272512938,-1.4071268395882384,-0.22734788736265327,-1.3111326172750826,-0.9220517951277114,-0.9059119040764253,-1.3604653952822827,-1.5125227503698537,-0.7522961365969797,1.7920666895489863,1.2423356761931508,0.19164487856119836,0.430103024420352,0.9669913681687695,-0.9970230806522739
morphology-data/TCs/fukunaga/IF04204.CNG.swc,-0.5569098571448143,0.3560309462916165,0.17000159805037282,1.4953935532212004,-0.4027505612854568,0.9211458417889531,-0.5751515817590047,1.0386888272048849,-0.1149480962988118,0.5419427273019768,-0.4249188054095446,-0.11244857223944396,0.22625559678744345,0.1276613000485362,-0.2650120839246161,0.782519624128924,0.9243368275841409,0.22208110846533205,0.06433515378970897,1.7766825447951682,1.2485554489535162,-1.2791754098549941,0.06527854094952534,-0.33575885750541545,-1.2941356049973916,1.4242502350433823,0.23875533295931936,-0.37952464478304815,-0.41285954394894975,-0.665879851260004,0.2872563971108025,1.728731739675025,0.04085768742703899,1.5490853906981426,-0.3016278152005025,0.7878160158043784,-1.1188806766775343
morphology-data/TCs/fukunaga/IF04191.CNG.swc,-0.10364950350865172,-0.5980869753807514,-0.8985077382869344,-0.32715924535612306,-0.8231540541849879,0.5567391779620319,-0.04716173901318706,-0.7121077094400471,-1.857753147108246,-0.9266367508389177,-0.9436489839774057,-1.4998953561641908,-0.24889732481004,0.6707008494200944,0.2607836569932786,0.6159558158759072,1.3039148963463714,0.8368837025417468,0.021373990190738275,-0.4722382779893767,-1.0678132900497765,-0.4768632279089026,-1.284008042051791,-0.7365708301438891,-0.9262754156514945,-1.0820736995352178,-0.9056466365227237,-0.9083352777252722,-1.613329469235704,-2.147225976264611,-0.9602066433385361,1.5881162170477234,-0.5257944815241004,0.5994572808496632,0.3661288758805853,-0.8463200889695713,-0.8063676536607207
morphology-data/TCs/fukunaga/IF04355.CNG.swc,-1.010170210780977,0.3560309462916165,0.34808648743992404,1.3834014667282437,1.057603554794467,0.4275501099697473,-0.6532689919304437,1.196331230196125,-0.05969689262614289,0.21932604579331896,1.1815219063785727,0.706332201916082,0.7014085183849269,0.8260125299884475,1.049479634453321,1.7419383384453775,-0.11922196999588783,0.2439316603920154,-0.027482358807749116,-0.4722382779893767,-1.1054778223912936,0.6122105089886709,-0.19209081752675727,1.632853872645156,1.7163594690219646,-0.452855163398181,0.5077850541186636,0.51167212296573,1.1356383540909014,0.924493079531655,-1.1681171500800926,0.5768539770278727,-2.19584437526584,0.8794101870741343,2.1160332325539453,1.3020582262693923,-0.33782294864845847
morphology-data/TCs/fukunaga/IF04174.CNG.swc,0.34961085012751086,-0.2800476681566288,-0.36425307011828084,1.9403672949702946,0.907572572799413,0.6318515719345199,-0.6184755145523323,1.089567435026752,-0.13200250334709684,0.5077863103773704,1.901720595423447,1.3282486701113876,0.7014085183849269,0.32475630002349887,2.2325212345601844,1.1060288328037922,-0.06567156295903244,0.04436517672332591,0.08555782122796546,0.21694713544459673,-0.35218717556095447,-0.5010106685819694,-0.7714208784663821,-0.38624940798446394,-0.9724309732223645,0.1860899681397486,-0.21847934187532037,-0.42166279426731623,-0.5761562626749629,-1.3820054512508813,-0.5443856298554233,2.012485953861354,0.06765929966847525,0.8726519969458183,-2.906339734948877,-1.4890149824799799,-1.413407338657401
morphology-data/TCs/urban/Burton2017/Burton-et-al--2017-Fig--13G.CNG.swc,0.34961085012751086,-1.5522048970531195,-1.7889321852346904,-0.6269114887550263,-0.052358503402799836,0.20497519430869793,0.21093373500887755,-0.07911003610928405,-0.540429402681635,2.226204287291348,0.8149066906360416,0.31833376559660587,-1.199203168005007,0.09580196776010352,-1.3166035657604058,-2.064133178803751,-2.4965161063758794,-2.1951438789662787,0.03817526857935683,4.714788781013686,4.318214834787148,0.01396861496540388,0.411939309509416,-1.174904889953437,-1.1074495521661452,3.7355970080429057,2.2650767342436033,1.6944965938326844,-0.20155037247138635,-0.5032490909103297,1.7426299443016975,1.1178009378625384,0.6227726140342592,-2.5047296270885853,-0.15423711167017234,1.149858256958078,-1.2830062211395987
morphology-data/TCs/urban/Burton2017/Burton-et-al--2017-Fig--13H.CNG.swc,-0.10364950350865172,2.900345404084598,3.375529607062295,0.07080990511117316,1.2443321101018037,0.24470933199711434,0.2679175194274736,2.221651046832036,3.193944183782712,8.026400501066151,2.1975745635399018,1.5237512664454014,1.651714361579894,0.020728415596858292,0.7839009917285316,-0.31858778608106003,0.48661421498832763,0.20898873796199804,0.14944689299521657,2.719778373704816,2.2090010236621986,2.471719490566921,-0.6696811953299414,-1.3104685597327996,-0.05402993946624291,2.3377516728662924,3.1379619031276453,4.3940887298191535,0.9195483296022111,1.5750161209303508,2.5742719712679234,0.14603993037511517,0.999778462941199,-1.2230013237528023,0.20791245318276705,-0.09161662921567161,0.2755119627111519
