,,MAD Basal,MAD Apical,NumberofStemsTest,BasalDendriteNumberofBifurcationsTest,BasalDendriteNumberofBranchesTest,BasalDendriteOverallWidthTest,BasalDendriteOverallHeightTest,BasalDendriteOverallDepthTest,BasalDendriteAverageDiameterTest,BasalDendriteTotalLengthTest,BasalDendriteMaxEuclideanDistanceTest,BasalDendriteMaxPathDistanceTest,BasalDendriteMaxBranchOrderTest,BasalDendriteAverageContractionTest,BasalDendritePartitionAsymmetryTest,BasalDendriteAverageRallsRatioTest,BasalDendriteAverageBifurcationAngleLocalTest,BasalDendriteAverageBifurcationAngleRemoteTest,BasalDendriteFractalDimensionTest,ApicalDendriteNumberofBifurcationsTest,ApicalDendriteNumberofBranchesTest,ApicalDendriteOverallWidthTest,ApicalDendriteOverallHeightTest,ApicalDendriteOverallDepthTest,ApicalDendriteAverageDiameterTest,ApicalDendriteTotalLengthTest,ApicalDendriteMaxEuclideanDistanceTest,ApicalDendriteMaxPathDistanceTest,ApicalDendriteMaxBranchOrderTest,ApicalDendriteAverageContractionTest,ApicalDendritePartitionAsymmetryTest,ApicalDendriteAverageRallsRatioTest,ApicalDendriteAverageBifurcationAngleLocalTest,ApicalDendriteAverageBifurcationAngleRemoteTest,ApicalDendriteFractalDimensionTest
,morphology-data/GCs/Denizet-granule/Denizet2017/14c4nd4.CNG.swc,2.522155534,1.64438663,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,-0.45528912,0.42140993,-0.447286754,-0.086954695,-0.008059261,0.403161082,0.073225116,-0.226096699,0.364981674,0.900064576,0.156091494,0.632978261,0.537089598,-0.434387101
,morphology-data/GCs/Denizet-granule/Denizet2017/14c8ns1.CNG.swc,2.522155534,1.651427272,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,0.408588019,-0.603420465,-0.599653463,-0.086954695,-0.33034381,-0.635247371,-0.49371243,-0.226096699,-0.132168773,0.900064576,0.156091494,-0.002398178,0.233736275,0.260712317
,morphology-data/GCs/Denizet-granule/Denizet2017/4c8nd1.CNG.swc,2.522155534,1.654891498,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,-0.36791681,-0.323984815,-0.462511737,0.381217845,-0.65492374,-0.086954695,-0.256145584,0.321189611,0.143348104,-0.845897444,0.672638782,0.150196351,0.156091494,-0.141239298,0.383240046,-0.36270396
,morphology-data/GCs/Denizet-granule/Denizet2017/3c5nd1.CNG.swc,2.522155534,1.663604513,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,-0.36791681,-0.323984815,0.395488567,0.31036096,-0.575566079,-0.086954695,0.170686164,0.240920176,0.044653816,-0.845897444,-0.279047207,0.150196351,0.156091494,-0.918459987,-0.134310918,-0.380219298
,morphology-data/GCs/Denizet-granule/Denizet2017/15c6nd1.CNG.swc,2.522155534,1.66988845,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,-1.056994278,-0.218508219,0.027552145,-0.086954695,-0.237867952,-0.256467047,-0.508808065,-0.226096699,0.351245516,0.900064576,0.156091494,-0.130123818,-0.394692867,-0.073376531
,morphology-data/GCs/Denizet-granule/Denizet2017/14c3nd1.CNG.swc,2.522155534,1.681275299,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.724666551,0.569683764,0.685265381,-0.097365009,-0.401539396,-0.086954695,0.001231513,-0.059245139,-0.210847276,-0.226096699,-0.182823783,-0.974603737,0.156091494,0.067999863,0.447786711,-0.131436631
,morphology-data/GCs/Denizet-granule/Denizet2017/3c6ns2.CNG.swc,2.522155534,1.684805624,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,0.158242385,-0.580138389,-0.539528365,-0.086954695,-0.185191797,-0.616477368,-0.642708302,-0.226096699,-0.000784537,0.900064576,0.156091494,-0.496998037,-0.394884875,-0.124300753
,morphology-data/GCs/Denizet-granule/Denizet2017/14c4nd5-6.CNG.swc,2.522155534,1.689906932,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.724666551,0.569683764,-0.555839378,0.549221009,-0.337119648,-0.086954695,0.212088092,0.487774875,0.325156085,-0.226096699,0.076756774,-0.599671874,0.156091494,0.426552096,-0.142221645,-0.492447202
,morphology-data/GCs/Denizet-granule/Denizet2017/14c7nd1.CNG.swc,2.522155534,1.701851599,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,-0.36791681,-0.323984815,-0.823945834,0.262786152,-0.658658218,-0.086954695,-0.223117349,0.219519754,-0.036489088,-0.845897444,0.068599466,0.150196351,0.156091494,0.090767096,-0.487023079,-0.59559308
,morphology-data/GCs/Denizet-granule/Denizet2017/3c4ns1.CNG.swc,2.522155534,1.718491892,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.724666551,0.569683764,0.768696383,-0.42211854,-0.37689184,-0.086954695,-0.065739371,-0.423004701,-0.340506703,-0.226096699,-0.413220867,-0.599671874,0.156091494,0.049990835,0.508038798,-0.13857251
