Name,Z _Tot,MAD,NumberofStemsTest,BasalDendriteNumberofBifurcationsTest,BasalDendriteNumberofBranchesTest,BasalDendriteOverallWidthTest,BasalDendriteOverallHeightTest,BasalDendriteOverallDepthTest,BasalDendriteAverageDiameterTest,BasalDendriteTotalLengthTest,BasalDendriteTotalSurfaceTest,BasalDendriteTotalVolumeTest,BasalDendriteMaxEuclideanDistanceTest,BasalDendriteMaxPathDistanceTest,BasalDendriteMaxBranchOrderTest,BasalDendriteAverageContractionTest,BasalDendritePartitionAsymmetryTest,BasalDendriteAverageRallsRatioTest,BasalDendriteAverageBifurcationAngleLocalTest,BasalDendriteAverageBifurcationAngleRemoteTest,BasalDendriteFractalDimensionTest,ApicalDendriteNumberofBifurcationsTest,ApicalDendriteNumberofBranchesTest,ApicalDendriteOverallWidthTest,ApicalDendriteOverallHeightTest,ApicalDendriteOverallDepthTest,ApicalDendriteAverageDiameterTest,ApicalDendriteTotalLengthTest,ApicalDendriteTotalSurfaceTest,ApicalDendriteTotalVolumeTest,ApicalDendriteMaxEuclideanDistanceTest,ApicalDendriteMaxPathDistanceTest,ApicalDendriteMaxBranchOrderTest,ApicalDendriteAverageContractionTest,ApicalDendritePartitionAsymmetryTest,ApicalDendriteAverageRallsRatioTest,ApicalDendriteAverageBifurcationAngleLocalTest,ApicalDendriteAverageBifurcationAngleRemoteTest,ApicalDendriteFractalDimensionTest
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-13-SDB20130325cell1.CNG.swc,6.169149021,0.809664106,-0.328601184,-0.434678292,-0.557344086,-0.006190629,-2.010793533,-0.838941918,0.449490927,-1.14201289,-1.704534808,-1.352446583,-1.363339736,-1.234144483,0.557872146,-1.389160785,1.689447027,-0.145198424,1.066600634,0.795382417,1.486536474,0.080877307,0.354946572,-1.191980103,0.741828207,-1.897622033,-0.352283263,1.486848644,-0.278548483,-2.12461168,-0.794408043,-0.471038147,-0.104280261,-0.269421177,0.147419841,0.283731173,-0.068099999,-0.487931458,0.268978542
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-28-SDB130807c5.CNG.swc,5.930781552,0.826180764,0.263030889,-0.707886233,-0.747291139,0.289220164,-1.779680125,-0.529276408,-1.0019616,-0.940446159,-1.800987976,-1.605534514,-1.200154841,-1.213633432,-0.411181766,-1.219208073,-0.38494329,-0.222089152,0.410678266,1.569114465,1.230753402,0.427390878,0.611042659,-1.160699587,1.761220793,-1.554700965,-0.241046764,1.60377301,0.711670539,-0.413643412,0.238800161,0.86922618,-0.104280261,-0.211553641,0.544632265,0.395313476,0.677754507,1.100207733,0.414659533
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-02-SDB20130211pair1_1.CNG.swc,6.858739652,0.845108489,-0.920233256,-0.981094173,-1.412105826,-0.161537355,-0.498166308,-0.541837429,0.373362708,-1.061167203,-1.616904321,-1.05894178,0.065277257,0.132643081,-0.411181766,0.743191886,0.859689905,0.030766953,1.666569249,0.619929472,0.492502444,0.427390878,0.662261877,1.245772015,-0.232032207,-1.711002503,-0.167564912,1.919704729,2.521750639,3.760005164,0.76325623,0.722461337,-0.80753823,-0.221489914,-0.438651927,0.957828772,0.639601365,-0.251197259,0.172401757
morphology-data/MCs/fukunaga-done/done/IF04193.CNG.swc,6.622714788,0.851427818,0.854662961,0.248341559,0.582338234,0.987612078,-0.18062151,0.297467181,-0.006094402,0.372927467,-0.423681259,-0.601744453,-0.143266684,0.987223969,0.557872146,1.551436188,0.150627352,1.047575182,0.888025323,0.736199847,-0.26921485,-1.420681501,-0.976753083,-1.656022139,-0.123814023,2.001722363,-0.148071984,-1.556081893,-1.531326766,-2.929048099,0.304573358,-0.555181576,-1.862425183,0.917364239,-1.809065115,0.226255133,1.762030468,0.664695879,-0.17078381
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-33-SDB130823c4.CNG.swc,6.912715905,0.878537653,-0.328601184,-0.981094173,-1.317132299,-0.769838215,-0.745889367,0.007421778,1.209630677,-1.138659528,-1.555998565,-0.961370698,0.132889439,0.797287321,-0.895708722,0.049142722,-1.629576484,0.705371861,-0.080196732,2.356587954,1.267360887,1.813445162,1.891523097,-0.181072028,-1.090190465,-1.506560911,-0.316688763,3.30331886,1.221334029,0.120149594,-0.879050174,-0.418937392,0.598977709,-0.07006796,0.043339935,0.537081379,-1.171510806,-0.125338275,0.287548012
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-21-SDB20130610cell3.CNG.swc,8.301885176,0.882424383,0.854662961,-0.707886233,-0.652317613,-0.436156923,0.727706571,-0.632463641,0.55559961,-0.051694888,-0.389089983,0.172992429,0.753895317,0.788575509,-0.411181766,-0.678935466,-0.38494329,-1.353477626,-0.261960805,-1.347174995,0.531456563,1.813445162,1.84030388,0.1578767,-1.181617648,-1.554291263,-0.38107367,5.852280992,2.963462915,2.176683734,-0.152674022,0.286438435,0.247348724,-0.320307323,-0.127478535,-0.432417435,-0.315139023,-0.678339959,0.476350576
morphology-data/MCs/fukunaga-done/done/IF04360.CNG.swc,6.694560643,0.887569709,-0.920233256,0.931361411,1.437099974,1.566092599,0.150205443,2.471250551,-0.506667736,1.353934222,-0.018360273,-0.556189465,0.273373373,0.526354755,0.557872146,1.768226911,0.455184117,1.163995752,-0.227125082,0.093799753,-0.438172476,-1.536186025,-1.181629953,-0.350902459,-0.117471673,0.773433999,0.73929861,-2.057792218,-0.721475222,-0.931488435,-0.138025088,-0.51693357,-1.510796199,0.619783322,-2.431085336,-0.857151605,1.512749561,1.379343309,-0.04903335
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-26-SDB130805c6.CNG.swc,6.658397801,0.893533039,0.263030889,-0.981094173,-1.222158773,-0.794132958,-0.982717385,0.172272208,-1.024405404,-1.157798786,-1.974909462,-1.751840511,-1.536538781,-1.353817017,-0.895708722,-1.564927018,-1.629576484,0.335277899,-0.096020212,-0.475512677,1.022372331,0.658399925,0.867138747,-0.351012018,0.344384129,-1.110378507,-0.36435207,3.10222651,0.76522448,-0.735641535,-0.519537303,0.522962096,1.653864662,-0.278850174,1.445402958,0.436225405,-0.216996664,-0.210053302,0.243960259
morphology-data/MCs/fukunaga-done/done/IF04344.CNG.swc,6.752351688,0.897420408,0.263030889,0.65815347,1.247152921,2.604023449,0.954065223,0.981056651,0.251986839,2.172169835,1.372800888,1.161110812,0.863150542,1.638886651,1.526926059,1.298802293,0.361836627,0.870486749,1.155950769,-0.443474771,-0.218058236,-1.305176978,-0.976753083,-0.953747765,-0.551552408,2.251026388,0.288550444,-1.513054166,-0.614514252,-0.901450181,0.296064177,-0.016442949,-0.80753823,0.695684528,-0.028310386,1.791634773,0.020971991,0.041652969,-0.107305746
morphology-data/MCs/urban-done/BurtonUrban2014/SDB130907c6.CNG.swc,6.639142573,0.932115069,-1.511865329,-0.981094173,-1.317132299,-0.441895369,-1.406480479,-0.722778423,-0.623058401,-1.008992383,-1.744299083,-1.461832258,-0.747741117,-0.928819407,-0.411181766,0.37008205,0.859689905,-1.882539676,-0.117911134,-1.20699484,0.342787215,0.658399925,0.764700312,0.241141681,2.011197867,-1.682937876,-0.096936223,1.490085875,1.45644053,1.571746666,1.764572302,1.486044927,0.950606693,-0.199987743,0.823689305,-0.311769959,0.539868434,0.025569688,0.325386221
morphology-data/MCs/urban-done/BurtonUrban2014/SDB131009c1.CNG.swc,9.421582149,0.945718285,-0.328601184,-0.434678292,-0.367397033,-0.468501667,-0.005371615,0.360272288,0.342793714,0.238511626,-0.255735343,-0.010592469,0.194684647,0.851760079,0.07334519,-0.645511158,0.859689905,-0.713301658,0.337304339,-0.872737969,0.603263554,2.968490399,2.813469012,0.856179554,-1.252457268,-1.361526195,-0.354155882,5.791322301,3.343031855,3.545282023,-0.171594842,1.074624856,2.005493647,-0.422523483,-0.089117522,-0.532656408,-0.025990997,-0.124677398,0.294929182
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-10-SDB20130218pair2_0.CNG.swc,7.718207959,0.961690021,-0.920233256,-0.844490203,-1.222158773,-0.633988585,-1.551577043,-0.669627655,-0.517842901,-1.123018108,-1.86780653,-1.626892523,-1.18807307,-1.392575007,0.07334519,-0.457183322,1.689447027,-1.079955012,1.050800294,-0.432679094,0.378456047,0.889408973,1.072015617,0.153028706,1.059579925,-1.678635999,-0.431357905,4.874527737,1.3442985,-1.546469742,0.528423605,0.858312224,0.247348724,-0.179436715,0.060021244,-0.40061814,0.164671875,-1.060882258,0.313343259
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-29-SDB130814c1.CNG.swc,9.925935593,1.015476507,1.446295034,-0.981094173,-1.032211719,-0.90458528,0.84077461,-0.031922247,0.646821919,-0.190403184,-0.639848716,-0.315732855,0.752561367,0.935814705,-0.895708722,-0.463574072,-1.629576484,-0.81288211,2.295158047,-0.077343649,0.606079515,0.311886354,0.559823442,0.739225125,0.723523891,-1.527865446,0.025027285,3.983850488,4.229472978,6.356582409,0.564864343,1.113867026,-0.104280261,-0.574668306,-0.278689969,-0.037773942,-0.201961652,-0.703125757,0.037753673
morphology-data/MCs/fukunaga-done/done/IF04208.CNG.swc,7.96669456,1.047183302,0.263030889,1.341173322,2.101914661,2.502523614,1.008985575,1.248367643,0.135596173,3.144644907,2.362384902,1.73760364,0.827024332,1.272416143,1.042399103,1.056957082,0.693740472,0.96767535,0.379008165,0.276197062,0.050865984,0.658399925,0.815919529,-1.625197662,-0.719260358,1.773927723,-0.034365692,1.778857781,1.932706262,2.419744851,0.114085324,-0.412491713,1.302235678,0.74161839,0.803615752,0.356869552,-0.313075394,0.474176257,-0.056725306
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-15-SDB20130325pair1_1.CNG.swc,7.792188149,1.051012044,1.446295034,-1.117698144,-1.222158773,-0.731107959,-1.379192799,-0.832609503,-1.407525254,-1.279972193,-2.126542778,-1.902698372,-1.940244293,-2.310287811,-0.895708722,-0.208837414,-1.629576484,-0.506496547,-1.747854567,-1.415151214,0.761426665,-0.496645312,-0.157245603,0.0786928,-0.167458238,-1.735379807,-0.419292048,1.360794193,-0.909903215,-3.085237577,-0.181868121,-0.36523068,-1.159167214,-0.021198237,-1.035200329,-0.230563102,-0.616744239,-1.945141044,-0.060299347
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-03-SDB20130212cell3.CNG.swc,7.67741114,1.062553211,-0.328601184,-1.117698144,-1.507079353,-1.05449155,-1.138953821,-1.247746069,-0.683822499,-1.446744938,-2.152729473,-1.867843645,-1.848197016,-2.362046505,-0.895708722,0.128621659,-1.629576484,1.276015544,0.560318685,-1.32606369,-0.864321153,-1.07416793,-0.669437778,-0.048491719,-1.272476969,-2.021147364,0.143311908,-1.608673167,-1.399155876,-2.343679977,-1.357985587,-1.191588634,-0.104280261,0.034824082,1.671297073,0.439737566,0.0705128,-0.315787715,0.111332285
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-25-SDB20130701pair1_0.CNG.swc,9.409593127,1.08366997,2.037927106,1.204569352,2.101914661,-0.461677684,0.217423057,-0.360688815,-0.157038763,2.048148657,1.098895368,0.851229485,-0.241435836,-0.094783079,0.557872146,-0.356319425,-0.191333128,-0.176706848,0.373907997,-0.682097977,1.579932494,3.661517541,3.530538057,0.269777713,-1.260252459,-1.907250044,-0.074663856,2.935810931,2.806836247,4.037071852,-0.473411319,0.259639703,1.653864662,0.194039067,0.482858772,0.869122977,0.394399725,-0.21703637,0.273795726
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-06-SDB20130216cell1.CNG.swc,9.191041424,1.090036915,1.446295034,-1.117698144,-1.222158773,-0.862070544,-0.060531234,1.048637022,0.84024091,-0.518557441,-0.856778391,-0.505465592,-0.331086768,-0.08464004,-0.895708722,-1.140072725,-1.629576484,-0.942076365,1.15602019,-1.547006859,1.390793819,1.813445162,1.891523097,-0.250998177,-0.792114781,-1.520695651,-0.172283321,4.792280143,3.44780875,4.111584985,-0.908123207,-0.007189575,0.598977709,-0.506579154,0.110345081,1.016159121,0.397025539,0.089358904,0.309458433
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-07-SDB20130216pair1_1.CNG.swc,12.09473445,1.09824967,0.854662961,-0.707886233,-0.747291139,-0.880856719,-0.2239318,-0.061092884,0.05057075,-0.72851138,-1.327932652,-0.97754304,0.045496693,0.338763595,-0.411181766,-1.063534907,-0.38494329,0.692626752,0.782421294,-0.944232739,-0.267337543,2.506472304,2.506153707,0.43615703,0.201769759,-1.226734043,-0.433476766,8.680632549,4.767304195,4.630610757,0.2502668,1.028084866,0.950606693,-0.363356052,0.07893517,0.043195607,0.174393556,-0.758200759,0.108069031
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-24-SDB20130611cell1.CNG.swc,11.39817446,1.120388605,-0.328601184,-0.161470352,-0.177449979,-0.235102705,0.755138925,-0.423182492,0.863089761,-0.563447633,-1.032862112,-0.760122649,0.202140472,0.413015039,0.07334519,0.275718851,-0.696101588,-0.135473849,0.428875963,0.550818588,0.72904312,4.123535636,3.940291797,1.053481951,0.910136468,-1.308264858,-0.285871653,7.494324855,4.049125088,2.646842241,1.251236971,1.715620363,1.653864662,0.301835265,0.947302936,0.24068347,-0.190903068,-0.521922741,0.014133928
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-27-SDB130805c9.CNG.swc,8.588844806,1.143310103,0.263030889,-0.844490203,-1.032211719,-0.58141454,-0.835066774,-0.426192984,-0.022078212,-0.92703271,-1.610776307,-1.367315516,-0.721367031,-0.615864316,-0.895708722,-1.119924684,-1.629576484,-0.484629826,1.477603849,2.081219077,0.853414705,1.466931591,1.584207792,1.78878842,-1.173440442,-1.403315859,-0.296347996,4.380932436,2.841644349,2.403670921,1.150510412,1.561612325,1.653864662,-0.346102319,0.775984627,0.402575106,0.379159036,-0.538134688,0.366332292
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-34-SDB130905c1.CNG.swc,12.0416155,1.201814724,0.263030889,-0.298074322,-0.272423506,-0.908855059,0.818572766,0.2955986,0.166407504,-0.382050502,-0.963018222,-0.593893231,1.037521557,0.842713197,0.557872146,0.660277062,1.92651978,-0.647681492,-0.26965271,-0.990704885,-0.960063807,1.697940638,1.789084662,1.526284613,-0.968601722,-1.601407061,-0.058252639,5.083795465,5.147921101,8.007883494,0.637780409,1.330889775,0.950606693,-0.302539973,0.72910635,-0.517563608,0.77295568,0.179208884,0.310390791
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-19-SDB20130610cell1.CNG.swc,12.39305652,1.2409512,1.446295034,-0.298074322,-0.082476453,-0.573317711,0.434686743,-0.613466394,0.511805977,-0.110393936,-0.578534949,-0.359413843,-0.371624539,0.162627032,0.07334519,-0.799177766,-0.20713997,-0.907838887,0.777186911,-0.606768259,1.919255725,4.701058255,4.452483972,-0.067541322,-0.828785362,-1.611239923,-0.33937399,7.730039108,4.101033626,2.840815686,-0.581799599,1.769239676,2.708751616,-0.44360081,1.250592194,0.554737108,0.039256704,0.649320262,0.412095547
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-30-SDB130814c4.CNG.swc,9.852062865,1.243567165,2.037927106,-1.117698144,-1.127185246,-0.488032818,-1.664241664,-0.519933499,2.230732008,-1.142860736,-1.373133339,-0.502939887,-2.087498021,-2.520639776,-0.895708722,-0.98680468,-1.629576484,-1.503889916,2.278265475,0.290844053,1.25985166,-0.265636264,0.047631267,-0.273978216,0.493326098,-1.200103374,0.194794177,1.555488898,2.731402368,5.897806322,-0.590135828,1.442924424,-0.455909245,-0.879763252,0.345003048,0.647619527,1.278757335,1.339684862,0.714257347
morphology-data/MCs/urban-done/BurtonUrban2014/mitral-cell-32-SDB130823c3.CNG.swc,9.370727707,1.270545244,-0.920233256,-1.254302114,-1.791999933,-0.840198039,-2.26559642,-0.805722688,-1.319037883,-1.567084641,-2.27501737,-1.961567992,-2.303431089,-2.722950069,-1.380235678,-0.843033427,-1.629576484,-2.833853476,-3.468032102,-2.374133598,-0.371058752,1.697940638,1.789084662,-1.061975805,1.252225109,-1.688059158,-0.257900332,1.74226062,0.227354087,-1.673140494,-0.193075334,0.202677377,-0.104280261,-0.192879535,-0.523344725,0.621515628,-0.438792225,0.216463612,0.200139417
morphology-data/MCs/urban-done/Case2017/Case-et-al--2017-Fig--5m-lower-right.CNG.swc,13.52235943,1.288669997,0.854662961,2.434005084,3.716464615,1.642501631,-0.136662972,-0.671184806,-0.94151254,-0.56429928,-1.474920917,-1.30284711,0.562754652,0.278886641,10.73293823,1.547423072,2.795786538,0.359224987,0.572893237,2.381157803,0.044764737,-0.612149835,-0.310903256,-1.087805752,2.746320442,-0.400978473,0.04515425,-0.027511179,0.426085434,-0.743277045,1.922459106,2.051789858,-0.80753823,0.238457441,-1.405927926,-0.102701458,0.65330633,1.042670526,0.040861534
morphology-data/MCs/imai-done/apical/CD1xOMP-ctrl10-c-3.CNG.swc,9.660582175,1.301960056,-2.103497402,-1.254302114,-1.88697346,-0.967720962,-2.353203562,-1.020298153,-0.797190884,-1.694989179,-2.346206576,-1.997255306,-2.445406189,-3.16757319,-1.380235678,1.262835428,-1.629576484,-2.833853476,-3.468032102,-2.374133598,-0.282355999,0.080877307,0.354946572,-1.58136988,1.911785224,0.447515589,0.043746099,-0.175628177,0.859639255,1.253574169,0.937486887,0.342756194,-0.455909245,0.884904902,-1.081925322,1.772602657,0.273228362,-0.244793189,-0.204193317
